Ticker,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
T,AT&T Inc.,Communication Services,Telecom Services,CORE,S&P 500,179039764480.0,0.539,0.18805,DEFENSIVO,-1,25.58,27.29,27.88,26.83,False,True,True,8.41,1.63,44243001344.0,21888999424.0,124.18,3.61,30.39,18.81,5,5,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.56,1,9,0,MEDIA
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,CORE,Dow Jones,190154293248.0,0.27,0.17069,DEFENSIVO,-1,45.08,23.38,49.15,43.56,False,True,True,11.1,1.82,49997000704.0,17173999616.0,174.78,3.7,51.58,14.42,5,5,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.56,1,9,0,MEDIA
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,Dow Jones,67669131264.0,1.319,0.16016,AGRESIVO,1,45.69,37.09,55.73,65.75,True,True,False,30.06,4.8,3864000000.0,2249999872.0,79.33,2.89,63.64,39.29,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.82,3,8,0,MEDIA
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,CORE,S&P 500,45360480256.0,0.945,0.10353,BALANCEADO,1,78.1,37.95,81.32,80.79,False,True,True,43.15,4.39,1794499968.0,1060099968.0,6.82,0.39,96.78,23.92,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.63,4,8,0,MEDIA
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,CORE,S&P 500,79200247808.0,1.278,0.09646,AGRESIVO,1,140.85,55.17,141.76,137.57,True,True,True,34.52,3.9,5878000128.0,2304999936.0,69.28,2.39,164.17,16.56,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.93,2,8,0,MEDIA
CMCSA,Comcast Corporation,Communication Services,Telecom Services,CORE,S&P 500,103158652928.0,0.79,0.2141,DEFENSIVO,0,28.31,42.93,30.06,29.3,True,True,True,5.25,1.05,36879998976.0,19997999104.0,107.86,2.85,32.68,15.44,3,5,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.56,1,8,0,MEDIA
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,CORE,S&P 500,64423866368.0,0.755,0.15427,DEFENSIVO,0,160.66,39.33,165.74,140.82,False,True,True,14.88,2.22,6672000000.0,4393999872.0,71.38,3.24,180.6,12.41,3,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.22,7,8,0,MEDIA
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,CORE,S&P 500,86292127744.0,1.286,0.15869,AGRESIVO,1,361.65,49.63,366.5,283.15,True,True,True,19.31,2.9,11559999488.0,4477000192.0,140.99,3.64,403.07,11.45,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.93,2,8,0,MEDIA
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,CORE,S&P 500,87371866112.0,1.098,0.33772,BALANCEADO,1,102.83,56.19,106.11,97.14,True,True,True,15.68,5.38,12211999744.0,5571999744.0,175.88,2.34,112.71,9.61,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.93,2,8,0,MEDIA
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,CORE,S&P 500,803762601984.0,0.504,1.01159,DEFENSIVO,-1,898.04,38.73,978.8,903.95,True,True,True,39.1,30.28,31693000704.0,20640000000.0,165.31,1.38,1209.69,34.7,4,4,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.63,4,6,1,BAJA
