Ticker,TieneCedear,TickerCedearARS,TickerCedearCCL,CedearsPorAccionUSA,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
ABT,False,,,,Abbott Laboratories,Healthcare,Medical Devices,CORE,S&P 500,177556439040.0,0.782,0.12961,DEFENSIVO,0,95.97,26.01,108.23,122.79,False,True,False,27.47,3.4,12033000448.0,6499999744.0,26.79,1.17,131.44,36.96,4,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.63,5,8,0,MEDIA
NKE,True,NKE.BA,NKED.BA,10.0,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,Dow Jones,67891269632.0,1.319,0.16016,AGRESIVO,1,45.69,37.15,55.42,65.62,True,True,False,30.16,4.82,3864000000.0,2249999872.0,79.33,2.89,63.64,39.29,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.91,2,8,0,MEDIA
GE,False,,,,GE Aerospace,Industrials,Aerospace & Defense,CORE,S&P 500,331591286784.0,1.428,0.44692,AGRESIVO,1,299.31,47.62,312.38,296.31,True,True,True,39.05,17.65,10702999552.0,8600999936.0,114.07,2.01,352.75,17.85,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.07,1,8,0,MEDIA
EMR,False,,,,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,CORE,S&P 500,79172132864.0,1.278,0.09646,AGRESIVO,1,139.81,53.36,141.5,137.6,True,True,True,34.51,3.9,5878000128.0,2304999936.0,69.28,2.39,164.17,17.42,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.07,1,8,0,MEDIA
CMCSA,False,,,,Comcast Corporation,Communication Services,Telecom Services,CORE,S&P 500,103413727232.0,0.79,0.2141,DEFENSIVO,0,29.36,55.63,30.05,29.27,True,True,True,5.27,1.06,36879998976.0,19997999104.0,107.86,2.85,32.68,11.31,3,5,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.67,4,8,0,MEDIA
UPS,False,,,,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,CORE,S&P 500,87822188544.0,1.098,0.33772,BALANCEADO,1,105.47,63.55,106.0,97.17,True,True,True,15.76,5.41,12211999744.0,5571999744.0,175.88,2.34,112.71,6.87,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.07,1,8,0,MEDIA
BSX,False,,,,Boston Scientific Corporation,Healthcare,Medical Devices,CORE,S&P 500,96029204480.0,0.782,0.12445,DEFENSIVO,0,63.59,39.09,70.17,92.36,True,True,False,33.31,3.95,5338999808.0,2897999872.0,48.92,2.24,98.72,55.24,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.63,5,7,0,BAJA
LOW,False,,,,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,S&P 500,136768389120.0,0.965,,BALANCEADO,1,242.01,48.79,253.62,248.25,True,True,True,20.58,-13.79,12400000000.0,6636000256.0,,3.6,285.58,18.0,3,3,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.91,2,7,0,BAJA
T,False,,,,AT&T Inc.,Communication Services,Telecom Services,CORE,S&P 500,178759729152.0,0.539,0.18805,DEFENSIVO,-1,26.35,39.44,27.87,26.82,False,True,True,8.4,1.63,44243001344.0,21888999424.0,124.18,3.61,30.39,15.34,3,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.67,4,7,0,BAJA
DE,False,,,,Deere & Company,Industrials,Farm & Heavy Construction Machinery,CORE,S&P 500,154829553664.0,0.992,0.19566,BALANCEADO,1,583.5,49.14,594.33,512.45,True,True,True,32.39,5.89,8588000256.0,4814000128.0,376.02,5.64,665.1,13.98,3,3,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.07,1,7,0,BAJA
WMT,False,,,,Walmart Inc.,Consumer Defensive,Discount Stores,CORE,Dow Jones,994636201984.0,0.661,0.21847,DEFENSIVO,0,124.93,50.51,125.62,110.57,True,True,True,45.7,9.98,44027998208.0,21892999168.0,64.44,1.55,136.44,9.21,3,4,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.75,3,7,0,BAJA
DHR,False,,,,Danaher Corporation,Healthcare,Diagnostics & Research,CORE,S&P 500,140718948352.0,0.986,0.07053,BALANCEADO,1,193.48,48.29,199.88,209.62,True,True,False,39.61,2.68,7834999808.0,3600000000.0,37.49,2.51,261.36,35.09,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.63,5,7,0,BAJA
ACN,False,,,,Accenture plc,Technology,Information Technology Services,CORE,S&P 500,120262180864.0,1.236,0.24763,AGRESIVO,1,194.22,46.13,206.03,246.43,True,True,False,16.02,3.85,12735312896.0,7648264192.0,25.47,0.66,252.0,29.75,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.45,6,7,0,BAJA
SYK,False,,,,Stryker Corporation,Healthcare,Medical Devices,CORE,S&P 500,131363602432.0,0.926,0.15079,BALANCEADO,1,337.96,45.35,353.79,368.31,True,True,False,40.83,5.85,6949000192.0,3246000128.0,72.97,2.35,420.62,24.46,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.63,5,7,0,BAJA
