Ticker,TieneCedear,TickerCedearARS,TickerCedearCCL,CedearsPorAccionUSA,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NKE,True,NKE.BA,NKEC.BA,12.0,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,Dow Jones,67891269632.0,1.319,0.16016,AGRESIVO,1,45.85,38.12,54.72,65.33,True,True,False,30.16,4.82,3864000000.0,2249999872.0,79.33,2.89,63.64,38.8,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.5,4,8,0,MEDIA
PSX,False,,,,Phillips 66,Energy,Oil & Gas Refining & Marketing,CORE,S&P 500,64610328576.0,0.755,0.15427,DEFENSIVO,0,155.32,35.56,166.11,141.35,False,True,True,14.92,2.22,6672000000.0,4393999872.0,71.38,3.24,180.6,16.28,3,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.0,1,8,0,MEDIA
GE,False,,,,GE Aerospace,Industrials,Aerospace & Defense,CORE,S&P 500,331591286784.0,1.428,0.44692,AGRESIVO,1,303.69,50.06,312.22,296.87,True,True,True,39.05,17.65,10702999552.0,8600999936.0,114.07,2.01,352.75,16.15,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.79,2,8,0,MEDIA
CMCSA,False,,,,Comcast Corporation,Communication Services,Telecom Services,CORE,S&P 500,103413727232.0,0.79,0.2141,DEFENSIVO,0,29.8,59.68,30.02,29.23,True,True,True,5.27,1.06,36879998976.0,19997999104.0,107.86,2.85,32.68,9.67,3,5,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.56,3,8,0,MEDIA
EOG,False,,,,"EOG Resources, Inc.",Energy,Oil & Gas E&P,CORE,S&P 500,71533092864.0,0.333,0.16829,DEFENSIVO,-1,129.02,38.46,131.68,117.21,False,True,True,14.62,2.4,11724000256.0,4979999744.0,30.62,0.78,149.73,16.05,3,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,1,7,0,BAJA
LOW,False,,,,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,S&P 500,136768389120.0,0.965,,BALANCEADO,1,249.53,55.17,252.64,248.49,True,True,True,20.58,-13.79,12400000000.0,6636000256.0,,3.6,285.58,14.45,3,3,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.5,4,7,0,BAJA
DE,False,,,,Deere & Company,Industrials,Farm & Heavy Construction Machinery,CORE,S&P 500,154829553664.0,0.992,0.19566,BALANCEADO,1,591.54,52.37,595.33,513.22,True,True,True,32.39,5.89,8588000256.0,4814000128.0,376.02,5.64,665.1,12.44,3,3,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.79,2,7,0,BAJA
VZ,False,,,,Verizon Communications Inc.,Communication Services,Telecom Services,CORE,Dow Jones,190858641408.0,0.27,0.17069,DEFENSIVO,-1,46.63,39.67,49.15,43.6,False,True,True,11.15,1.83,49997000704.0,17173999616.0,174.78,3.7,51.58,10.62,3,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.56,3,7,0,BAJA
NOW,False,,,,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,S&P 500,99118964736.0,1.005,0.15488,BALANCEADO,1,100.22,49.03,105.56,154.74,True,True,False,56.74,7.65,2737999872.0,1748000000.0,18.54,0.88,182.29,81.89,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.42,5,7,0,BAJA
INTU,False,,,,Intuit Inc.,Technology,Software - Application,CORE,S&P 500,108999958528.0,1.213,0.23457001,AGRESIVO,1,402.82,47.75,416.01,605.28,True,True,False,25.48,5.7,6106999808.0,4339999744.0,36.15,1.13,603.49,49.82,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.42,5,6,1,BAJA
