Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,63833636864.0,1.319,0.16016,AGRESIVO,1,43.11,20.47,57.58,66.24,False,True,False,28.36,3864000000.0,2249999872.0,79.33,64.09,48.68,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.5,2,0,9,MEDIA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2773243133952.0,1.107,0.34390998,BALANCEADO,1,373.13,39.65,398.23,475.33,True,True,False,23.36,175258992640.0,119262003200.0,31.54,587.31,57.4,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.18,3,0,8,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3797649981440.0,1.109,1.5202099,BALANCEADO,1,258.36,53.2,260.74,250.04,True,True,True,32.66,152901992448.0,117776998400.0,102.63,295.32,14.31,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.18,3,0,8,MEDIA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,175458910208.0,1.441,0.12024,AGRESIVO,1,98.94,50.26,102.5,111.21,True,True,False,14.57,19306000384.0,12252000256.0,40.91,128.73,30.11,2,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.75,1,0,8,MEDIA
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,CORE,1284344774656.0,1.915,0.049250003,ESPECULATIVO,0,342.27,33.42,397.64,397.32,False,True,True,319.88,10503000064.0,3793999872.0,17.76,416.15,21.59,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.5,2,0,7,BAJA
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,102877184000.0,1.005,0.15488,BALANCEADO,1,97.5,33.5,109.55,159.12,False,True,False,58.38,2737999872.0,1748000000.0,18.54,184.36,89.09,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,3,0,7,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,89650872320.0,1.492,0.35985002,AGRESIVO,1,1768.36,53.89,1848.02,2148.21,True,True,False,44.91,4019000064.0,1996999936.0,169.24,2528.73,43.0,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.5,2,0,7,BAJA
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,1547708399616.0,1.309,0.30238,AGRESIVO,1,611.95,53.1,635.27,683.47,True,True,False,26.08,101891997696.0,60458000384.0,39.16,860.25,40.57,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.75,1,0,7,BAJA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,5553375744.0,1.025,0.14374,BALANCEADO,1,10.4,37.55,11.6,13.3,False,True,False,19.97,75536000.0,282329984.0,3.9,13.8,32.74,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,3,0,7,BAJA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3835716698112.0,1.128,0.35705003,BALANCEADO,1,317.08,61.88,309.04,267.03,True,False,True,29.33,150175006720.0,132169998336.0,16.13,376.29,18.67,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.75,1,0,7,BAJA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,16789948416.0,0.994,-0.13465999,BALANCEADO,1,63.67,31.92,82.39,145.82,True,True,False,,-22988000.0,-189224992.0,76.38,167.63,163.29,3,2,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,3,0,6,BAJA
NVDA,NVIDIA Corporation,Technology,Semiconductors,CORE,4424727527424.0,2.335,1.01485,ESPECULATIVO,-1,182.05,54.57,182.23,180.34,True,True,True,37.15,133230002176.0,120066998272.0,7.25,268.22,47.33,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.18,3,0,6,BAJA
BA,The Boeing Company,Industrials,Aerospace & Defense,CORE,171207950336.0,1.128,2.90084,BALANCEADO,1,217.87,56.49,221.95,218.83,True,True,True,87.85,-3238000128.0,1888999936.0,1032.89,269.0,23.47,3,2,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.0,7,0,6,BAJA
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,339335282688.0,0.403,0.31562,DEFENSIVO,-1,144.99,43.19,153.09,151.77,True,True,True,21.48,24764999680.0,16161999872.0,68.72,166.77,15.02,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.8,4,0,6,BAJA
