Ticker,TieneCedear,TickerCedearARS,TickerCedearCCL,CedearsPorAccionUSA,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NOC,False,,,,Northrop Grumman Corporation,Industrials,Aerospace & Defense,CORE,S&P 500,96487383040.0,0.046,0.26167,DEFENSIVO,-1,621.13,24.89,705.57,617.98,False,True,True,23.34,5.79,6819999744.0,4182000128.0,107.26,2.62,736.1,18.51,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.93,1,8,0,MEDIA
JNJ,True,JNJ.BA,JNJC.BA,15.0,Johnson & Johnson,Healthcare,Drug Manufacturers - General,CORE,Dow Jones,573483646976.0,0.329,,DEFENSIVO,-1,226.05,28.37,240.9,203.46,False,True,True,21.59,7.03,34104750080.0,21040001024.0,60.5,1.45,241.92,7.02,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.74,2,8,0,MEDIA
ABT,False,,,,Abbott Laboratories,Healthcare,Medical Devices,CORE,S&P 500,177556439040.0,0.782,0.12961,DEFENSIVO,0,94.65,27.12,107.4,122.2,False,True,False,27.47,3.4,12033000448.0,6499999744.0,26.79,1.17,131.44,38.87,4,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.74,2,8,0,MEDIA
GE,False,,,,GE Aerospace,Industrials,Aerospace & Defense,CORE,S&P 500,331591286784.0,1.428,0.44692,AGRESIVO,1,288.63,42.47,311.57,297.08,True,True,True,39.05,17.65,10702999552.0,8600999936.0,114.07,2.01,352.75,22.22,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.93,1,8,0,MEDIA
EW,False,,,,Edwards Lifesciences Corporation,Healthcare,Medical Devices,CORE,S&P 500,45511487488.0,0.945,0.10353,BALANCEADO,1,81.26,52.28,81.4,80.86,True,True,True,43.29,4.4,1794499968.0,1060099968.0,6.82,0.39,96.78,19.1,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.74,2,8,0,MEDIA
PSX,False,,,,Phillips 66,Energy,Oil & Gas Refining & Marketing,CORE,S&P 500,64610328576.0,0.755,0.15427,DEFENSIVO,0,156.52,37.17,166.1,141.5,False,True,True,14.92,2.22,6672000000.0,4393999872.0,71.38,3.24,180.6,15.38,3,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.6,3,8,0,MEDIA
CMCSA,False,,,,Comcast Corporation,Communication Services,Telecom Services,CORE,S&P 500,103413727232.0,0.79,0.2141,DEFENSIVO,0,29.88,60.53,29.98,29.21,True,True,True,5.27,1.06,36879998976.0,19997999104.0,107.86,2.85,32.68,9.38,3,5,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.56,4,8,0,MEDIA
BSX,False,,,,Boston Scientific Corporation,Healthcare,Medical Devices,CORE,S&P 500,96029204480.0,0.782,0.12445,DEFENSIVO,0,61.47,35.89,69.31,91.73,True,True,False,33.31,3.95,5338999808.0,2897999872.0,48.92,2.24,98.72,60.6,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.74,2,7,0,BAJA
T,True,T.BA,TC.BA,3.0,AT&T Inc.,Communication Services,Telecom Services,CORE,S&P 500,178759729152.0,0.539,0.18805,DEFENSIVO,-1,26.2,38.79,27.82,26.79,False,True,True,8.4,1.63,44243001344.0,21888999424.0,124.18,3.61,30.39,16.0,3,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.56,4,7,0,BAJA
DE,False,,,,Deere & Company,Industrials,Farm & Heavy Construction Machinery,CORE,S&P 500,154829553664.0,0.992,0.19566,BALANCEADO,1,593.14,52.89,595.59,513.6,True,True,True,32.39,5.89,8588000256.0,4814000128.0,376.02,5.64,665.1,12.13,3,3,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.93,1,6,1,BAJA
VZ,False,,,,Verizon Communications Inc.,Communication Services,Telecom Services,CORE,Dow Jones,190858641408.0,0.27,0.17069,DEFENSIVO,-1,46.56,39.44,49.15,43.62,False,True,True,11.15,1.83,49997000704.0,17173999616.0,174.78,3.7,51.58,10.79,3,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.56,4,7,0,BAJA
NOW,False,,,,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,S&P 500,99118964736.0,1.005,0.15488,BALANCEADO,1,103.88,53.35,105.61,154.21,True,True,False,56.74,7.65,2737999872.0,1748000000.0,18.54,0.88,182.29,75.48,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.35,7,7,0,BAJA
NKE,True,NKE.BA,NKEC.BA,12.0,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,Dow Jones,67891269632.0,1.319,0.16016,AGRESIVO,1,46.68,41.64,54.38,65.18,True,True,False,30.16,4.82,3864000000.0,2249999872.0,79.33,2.89,63.64,36.33,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,5,7,0,BAJA
CEG,False,,,,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,GROWTH,S&P 500,106853376000.0,1.188,0.16364,BALANCEADO,1,282.17,43.47,298.29,327.63,True,True,False,39.91,6.35,5632000000.0,2319000064.0,63.94,1.69,373.3,32.29,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.17,8,7,0,BAJA
DHR,False,,,,Danaher Corporation,Healthcare,Diagnostics & Research,CORE,S&P 500,140718948352.0,0.986,0.07053,BALANCEADO,1,198.6,55.14,198.62,209.53,True,True,False,39.61,2.68,7834999808.0,3600000000.0,37.49,2.51,261.36,31.6,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.74,2,6,1,BAJA
ACN,False,,,,Accenture plc,Technology,Information Technology Services,CORE,S&P 500,120262180864.0,1.236,0.24763,AGRESIVO,1,197.74,49.77,203.52,244.83,True,True,False,16.02,3.85,12735312896.0,7648264192.0,25.47,0.66,252.0,27.44,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.35,7,7,0,BAJA
SYK,False,,,,Stryker Corporation,Healthcare,Medical Devices,CORE,S&P 500,131363602432.0,0.926,0.15079,BALANCEADO,1,338.22,46.04,352.57,367.49,True,True,False,40.83,5.85,6949000192.0,3246000128.0,72.97,2.35,420.62,24.36,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.74,2,7,0,BAJA
EMR,False,,,,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,CORE,S&P 500,79172132864.0,1.278,0.09646,AGRESIVO,1,147.18,63.39,141.01,137.73,True,False,True,34.51,3.9,5878000128.0,2304999936.0,69.28,2.39,164.17,11.54,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.93,1,7,0,BAJA
GOOGL,True,GOOGL.BA,GOOGLC.BA,58.0,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,S&P 500,4079834365952.0,1.128,0.35705003,BALANCEADO,1,337.57,68.17,308.29,274.1,True,False,True,31.17,9.82,150175006720.0,132169998336.0,16.13,0.45,375.93,11.36,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.56,4,7,0,BAJA
AAPL,True,AAPL.BA,AAPLC.BA,20.0,Apple Inc.,Technology,Consumer Electronics,CORE,Dow Jones,3906855501824.0,1.109,1.5202099,BALANCEADO,1,269.44,60.99,260.33,252.72,True,False,True,33.69,44.32,152901992448.0,117776998400.0,102.63,0.59,296.33,9.98,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.35,7,7,0,BAJA
UPS,False,,,,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,CORE,S&P 500,87822188544.0,1.098,0.33772,BALANCEADO,1,107.29,67.74,105.4,97.2,True,False,True,15.76,5.41,12211999744.0,5571999744.0,175.88,2.34,112.71,5.06,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.93,1,7,0,BAJA
PM,False,,,,Philip Morris International Inc.,Consumer Defensive,Tobacco,CORE,S&P 500,246840033280.0,0.451,,DEFENSIVO,-1,155.95,37.05,171.02,164.87,True,True,True,21.82,-24.67,18722000896.0,11315999744.0,,2.65,195.17,25.15,4,3,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.5,6,6,0,BAJA
