Ticker,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
T,AT&T Inc.,Communication Services,Telecom Services,CORE,S&P 500,179424788480.0,0.539,0.18805,DEFENSIVO,-1,25.63,27.72,27.9,26.85,False,True,True,8.43,1.63,44243001344.0,21888999424.0,124.18,3.61,30.39,18.58,5,5,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.56,1,0.0,9.0,MEDIA
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,CORE,Dow Jones,191512395776.0,0.27,0.17069,DEFENSIVO,-1,45.41,24.14,49.14,43.54,False,True,True,11.18,1.83,49997000704.0,17173999616.0,174.78,3.7,51.58,13.59,5,5,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.56,1,0.0,9.0,MEDIA
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,CORE,S&P 500,45424365568.0,0.945,0.10353,BALANCEADO,1,78.21,38.32,81.41,80.79,False,True,True,43.21,4.39,1794499968.0,1060099968.0,6.82,0.39,96.78,23.74,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.68,5,0.0,8.0,MEDIA
CMCSA,Comcast Corporation,Communication Services,Telecom Services,CORE,S&P 500,102539190272.0,0.79,0.2141,DEFENSIVO,0,28.14,40.38,30.09,29.32,True,True,True,5.22,1.05,36879998976.0,19997999104.0,107.86,2.85,32.68,16.14,3,5,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.56,1,0.0,8.0,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,Dow Jones,3803676409856.0,1.109,1.5202099,BALANCEADO,1,258.79,52.99,260.88,251.21,True,True,True,32.72,43.15,152901992448.0,117776998400.0,102.63,0.59,296.33,14.51,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.83,3,8.0,0.0,MEDIA
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,CORE,S&P 500,63664009216.0,0.755,0.15427,DEFENSIVO,0,158.77,36.34,165.37,140.61,False,True,True,14.71,2.19,6672000000.0,4393999872.0,71.38,3.24,180.6,13.75,3,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.33,7,0.0,8.0,MEDIA
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,CORE,S&P 500,87711735808.0,1.098,0.33772,BALANCEADO,1,103.23,57.69,106.26,97.14,True,True,True,15.74,5.4,12211999744.0,5571999744.0,175.88,2.34,112.71,9.19,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.64,6,0.0,8.0,MEDIA
BSX,Boston Scientific Corporation,Healthcare,Medical Devices,CORE,S&P 500,94847696896.0,0.782,0.12445,DEFENSIVO,0,63.82,38.72,71.28,92.79,True,True,False,32.9,3.91,5338999808.0,2897999872.0,48.92,2.24,98.72,54.68,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.68,5,0.0,7.0,BAJA
ABT,Abbott Laboratories,Healthcare,Medical Devices,CORE,S&P 500,175610232832.0,0.782,0.12961,DEFENSIVO,0,101.06,34.98,108.64,123.15,True,True,False,27.17,3.37,12033000448.0,6499999744.0,26.79,1.17,131.44,30.06,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.68,5,0.0,7.0,BAJA
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,S&P 500,139340349440.0,0.965,,BALANCEADO,1,248.4,55.26,254.78,248.05,True,True,True,20.94,-14.05,12400000000.0,6636000256.0,,3.6,285.58,14.97,3,3,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.82,4,0.0,7.0,BAJA
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,CORE,Dow Jones,996948967424.0,0.661,0.21847,DEFENSIVO,0,125.05,50.78,125.66,110.3,True,True,True,45.81,10.0,44027998208.0,21892999168.0,64.44,1.55,136.44,9.11,3,4,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.88,2,7.0,0.0,BAJA
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,CORE,S&P 500,127409037312.0,0.503,0.14337,DEFENSIVO,-1,325.77,47.68,328.63,297.16,True,True,True,12.69,1.73,13267999744.0,10309999616.0,30.94,1.86,342.09,5.01,3,5,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.3,8,0.0,7.0,BAJA
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,S&P 500,92652101632.0,1.005,0.15488,BALANCEADO,1,87.81,31.87,106.64,156.88,False,True,False,52.58,7.09,2737999872.0,1748000000.0,18.54,0.88,182.29,107.59,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.83,3,7.0,0.0,BAJA
INTU,Intuit Inc.,Technology,Software - Application,CORE,S&P 500,102070927360.0,1.213,0.23457001,AGRESIVO,1,366.8,33.5,420.58,613.01,False,True,False,23.86,5.34,6106999808.0,4339999744.0,36.15,1.13,603.49,64.53,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.83,3,0.0,7.0,BAJA
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,Dow Jones,65440395264.0,1.319,0.16016,AGRESIVO,1,44.19,30.51,56.06,65.88,False,True,False,29.07,4.64,3864000000.0,2249999872.0,79.33,2.89,63.64,44.01,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.82,4,9.0,-2.0,BAJA
