Ticker,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,Dow Jones,64862703616.0,1.319,0.16016,AGRESIVO,1,43.8,28.71,56.05,65.88,False,True,False,28.82,4.6,3864000000.0,2249999872.0,79.33,2.89,63.64,45.3,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.33,1,9,0,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,Dow Jones,3794012471296.0,1.109,1.5202099,BALANCEADO,1,258.13,51.97,260.87,251.21,True,True,True,32.63,43.04,152901992448.0,117776998400.0,102.63,0.59,296.33,14.8,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.91,5,8,0,MEDIA
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,CORE,Dow Jones,994955886592.0,0.661,0.21847,DEFENSIVO,0,124.8,50.25,125.66,110.3,True,True,True,45.71,9.98,44027998208.0,21892999168.0,64.44,1.55,136.44,9.33,3,4,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.2,2,7,0,BAJA
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,S&P 500,92493840384.0,1.005,0.15488,BALANCEADO,1,87.66,31.75,106.64,156.88,False,True,False,52.49,7.08,2737999872.0,1748000000.0,18.54,0.88,182.29,107.95,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.91,5,7,0,BAJA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,Dow Jones,2909169516544.0,1.107,0.34390998,BALANCEADO,1,391.42,56.66,392.12,473.1,True,True,False,24.48,7.44,175258992640.0,119262003200.0,31.54,0.7,585.41,49.56,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.91,5,7,0,BAJA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,S&P 500,5326107136.0,1.025,0.14374,BALANCEADO,1,9.96,38.6,11.3,13.25,False,True,False,19.15,2.57,75536000.0,282329984.0,3.9,1.08,13.8,38.6,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.91,5,7,0,BAJA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,S&P 500,4013300908032.0,1.128,0.35705003,BALANCEADO,1,331.75,69.06,307.88,270.09,True,False,True,30.72,9.66,150175006720.0,132169998336.0,16.13,0.45,375.93,13.32,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.0,3,7,0,BAJA
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,CORE,S&P 500,432575971328.0,0.978,0.29650998,BALANCEADO,1,974.56,41.85,993.94,949.1,False,True,True,50.71,26.14,13459999744.0,8549000192.0,60.26,0.76,1067.94,9.58,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.2,2,7,0,BAJA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,S&P 500,15814094848.0,0.994,-0.13465999,BALANCEADO,1,59.96,33.43,76.99,143.05,True,True,False,,10.01,-22988000.0,-189224992.0,76.38,,165.22,175.54,3,2,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.91,5,5,1,BAJA
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,Dow Jones,338012897280.0,0.403,0.31562,DEFENSIVO,-1,144.42,43.43,152.74,151.48,True,True,True,21.4,6.42,24764999680.0,16161999872.0,68.72,1.48,164.95,14.22,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.2,2,6,0,BAJA
