Ticker,TieneCedear,TickerCedearARS,TickerCedearCCL,CedearsPorAccionUSA,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
GFI,False,,,,Gold Fields Limited,Basic Materials,Gold,CORE,S&P 500,41196920832.0,0.82,0.51931,BALANCEADO,1,45.8,45.81,49.24,41.75,True,True,True,11.69,9.77,5170800128.0,3567399936.0,37.14,0.62,59.03,28.89,3,5,9,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.91,2,9.0,0.0,MEDIA
NOC,False,,,,Northrop Grumman Corporation,Industrials,Aerospace & Defense,CORE,S&P 500,96487383040.0,0.046,0.26167,DEFENSIVO,-1,596.8,20.94,703.34,618.37,False,True,True,23.34,5.79,6819999744.0,4182000128.0,107.26,2.62,736.1,23.34,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.93,1,8.0,0.0,MEDIA
RTX,False,,,,RTX Corporation,Industrials,Aerospace & Defense,CORE,S&P 500,267943100416.0,0.428,0.109519996,DEFENSIVO,-1,181.83,29.52,199.88,177.78,False,True,True,40.05,4.1,14734999552.0,6732000256.0,59.51,2.71,216.34,18.98,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.93,1,8.0,0.0,MEDIA
JNJ,True,JNJ.BA,JNJC.BA,15.0,Johnson & Johnson,Healthcare,Drug Manufacturers - General,CORE,Dow Jones,573483646976.0,0.329,,DEFENSIVO,-1,226.16,28.47,240.65,203.81,False,True,True,21.59,7.03,34104750080.0,21040001024.0,60.5,1.45,241.92,6.97,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.5,3,8.0,0.0,MEDIA
ABT,True,ABT.BA,ABTC.BA,4.0,Abbott Laboratories,Healthcare,Medical Devices,CORE,S&P 500,177556439040.0,0.782,0.12961,DEFENSIVO,0,92.87,25.14,107.0,121.98,False,True,False,27.47,3.4,12033000448.0,6499999744.0,26.79,1.17,131.44,41.53,4,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.5,3,8.0,0.0,MEDIA
TM,False,,,,Toyota Motor Corporation,Consumer Cyclical,Auto Manufacturers,CORE,S&P 500,266663067648.0,0.357,0.10032,DEFENSIVO,-1,200.54,36.29,220.72,206.46,True,True,True,11.42,17.43,6204942188544.0,3695587885056.0,105.34,6.79,257.24,28.27,4,5,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.37,5,8.0,0.0,MEDIA
HL,False,,,,Hecla Mining Company,Basic Materials,Other Precious Metals & Mining,CORE,S&P 500,12224415744.0,1.394,0.13893,AGRESIVO,1,18.45,43.28,20.4,15.64,True,True,True,37.2,4.72,696435008.0,321160000.0,11.0,0.41,26.0,40.92,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.91,2,8.0,0.0,MEDIA
GE,True,GE.BA,GEC.BA,8.0,GE Aerospace,Industrials,Aerospace & Defense,CORE,S&P 500,331591286784.0,1.428,0.44692,AGRESIVO,1,273.57,36.55,310.67,297.19,False,True,True,39.05,17.65,10702999552.0,8600999936.0,114.07,2.01,352.75,28.94,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.93,1,8.0,0.0,MEDIA
AVY,True,AVY.BA,AVYC.BA,18.0,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,OTRO,Nasdaq,13017439232.0,1.003,0.30212998,BALANCEADO,1,169.24,45.34,178.15,175.65,True,True,True,19.25,5.8,1418899968.0,688000000.0,176.34,2.79,205.0,21.13,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.37,5,0.0,8.0,MEDIA
DD,True,DD.BA,DDC.BA,5.0,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,CORE,S&P 500,19159748608.0,1.122,0.0051700003,BALANCEADO,1,46.2,48.81,47.17,38.96,True,True,True,222.6,1.37,1512000000.0,57000000.0,24.48,2.28,55.87,20.92,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.91,2,8.0,0.0,MEDIA
EW,False,,,,Edwards Lifesciences Corporation,Healthcare,Medical Devices,CORE,S&P 500,45511487488.0,0.945,0.10353,BALANCEADO,1,81.08,51.58,81.46,80.87,True,True,True,43.29,4.4,1794499968.0,1060099968.0,6.82,0.39,96.78,19.36,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.5,3,7.0,1.0,MEDIA
PHG,False,,,,Koninklijke Philips N.V.,Healthcare,Medical Devices,CORE,S&P 500,27268501504.0,0.964,0.078150004,BALANCEADO,1,28.39,50.01,29.1,27.96,True,True,True,26.1,2.1,2016000000.0,899000000.0,73.57,4.01,33.74,18.84,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.5,3,8.0,0.0,MEDIA
ECL,True,ECL.BA,ECLC.BA,56.0,Ecolab Inc.,Basic Materials,Specialty Chemicals,CORE,S&P 500,76534013952.0,1.024,0.22516,BALANCEADO,1,271.0,48.26,280.87,273.08,True,True,True,37.22,7.82,3928000000.0,2075600000.0,91.77,2.29,318.57,17.55,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.91,2,8.0,0.0,MEDIA
CMCSA,False,,,,Comcast Corporation,Communication Services,Telecom Services,CORE,S&P 500,103413727232.0,0.79,0.2141,DEFENSIVO,0,29.26,52.99,29.92,29.19,True,True,True,5.27,1.06,36879998976.0,19997999104.0,107.86,2.85,32.68,11.69,3,5,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,4.96,7,8.0,0.0,MEDIA
NTES,False,,,,"NetEase, Inc.",Communication Services,Electronic Gaming & Multimedia,GROWTH,S&P 500,73397493760.0,0.82,0.22625,BALANCEADO,1,113.52,44.84,115.66,133.22,True,True,False,14.98,15.62,38082293760.0,33759799296.0,4.08,0.18,163.95,44.42,2,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,4.96,7,8.0,0.0,MEDIA
PAGS,False,,,,PagSeguro Digital Ltd.,Technology,Software - Infrastructure,GROWTH,S&P 500,3116640512.0,1.414,0.14456001,AGRESIVO,1,10.8,52.52,10.42,9.76,True,False,True,7.8,1.07,9199995904.0,2118361984.0,18.03,0.29,12.89,19.39,2,5,8,TENDENCIA FIRME,COMPRA POTENCIAL,MEDIA,8,5.37,6,8.0,0.0,MEDIA
DAL,True,DAL.BA,DALC.BA,8.0,"Delta Air Lines, Inc.",Industrials,Airlines,CORE,S&P 500,46469193728.0,1.306,0.2499,AGRESIVO,1,69.33,53.94,66.53,62.96,True,False,True,10.33,2.27,7775000064.0,4476000256.0,105.02,2.75,79.61,14.83,2,5,8,TENDENCIA FIRME,COMPRA POTENCIAL,MEDIA,8,5.93,1,8.0,0.0,MEDIA
LMT,False,,,,Lockheed Martin Corporation,Industrials,Aerospace & Defense,CORE,S&P 500,140685606912.0,0.24,0.76865,DEFENSIVO,-1,565.14,28.35,633.24,522.58,False,True,True,28.43,20.8,8285000192.0,5016999936.0,338.8,2.75,667.85,18.17,5,3,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.93,1,7.0,0.0,BAJA
JOYY,False,,,,JOYY Inc.,Communication Services,Internet Content & Information,CORE,S&P 500,3105612288.0,0.453,0.36799,DEFENSIVO,-1,59.52,44.57,60.55,59.93,True,True,True,14.68,0.47,146724992.0,2097048064.0,0.48,0.22,78.17,31.34,3,5,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,4.96,7,7.0,0.0,BAJA
IP,False,,,,International Paper Company,Consumer Cyclical,Packaging & Containers,CORE,S&P 500,19022163968.0,1.099,-0.24678,BALANCEADO,1,34.26,36.55,39.44,43.16,True,True,False,,1.28,3948000000.0,-2838000128.0,71.07,2.67,43.43,26.76,3,3,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.37,5,7.0,0.0,BAJA
IFF,False,,,,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,CORE,S&P 500,18749493248.0,1.032,-0.02559,BALANCEADO,1,72.0,48.39,74.43,69.01,True,True,True,,1.33,1858000000.0,-361000000.0,46.88,3.58,89.12,23.77,3,3,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.91,2,7.0,0.0,BAJA
T,True,T.BA,TC.BA,3.0,AT&T Inc.,Communication Services,Telecom Services,CORE,S&P 500,178759729152.0,0.539,0.18805,DEFENSIVO,-1,25.0,30.21,27.77,26.77,False,True,True,8.4,1.63,44243001344.0,21888999424.0,124.18,3.61,30.39,21.57,3,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,4.96,7,7.0,0.0,BAJA
LOW,False,,,,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,S&P 500,136768389120.0,0.965,,BALANCEADO,1,248.93,53.86,251.61,248.74,True,True,True,20.58,-13.79,12400000000.0,6636000256.0,,3.6,285.58,14.72,3,3,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.37,5,7.0,0.0,BAJA
VZ,False,,,,Verizon Communications Inc.,Communication Services,Telecom Services,CORE,Dow Jones,190858641408.0,0.27,0.17069,DEFENSIVO,-1,45.22,32.04,49.11,43.63,False,True,True,11.15,1.83,49997000704.0,17173999616.0,174.78,3.7,51.58,14.07,3,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,4.96,7,7.0,0.0,BAJA
MSI,False,,,,"Motorola Solutions, Inc.",Technology,Communication Equipment,GROWTH,S&P 500,73728753664.0,0.992,1.04197,BALANCEADO,1,443.91,48.77,453.8,429.48,True,True,True,34.82,30.5,3523000064.0,2153999872.0,402.39,2.77,505.45,13.86,3,3,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.37,6,7.0,0.0,BAJA
HON,True,HON.BA,HONC.BA,8.0,Honeywell International Inc.,Industrials,Conglomerates,CORE,Dow Jones,140449202176.0,0.915,0.26136,BALANCEADO,1,221.55,38.88,234.19,211.87,False,True,True,31.94,10.13,8467999744.0,4424999936.0,236.61,4.2,251.5,13.52,3,3,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.93,1,7.0,0.0,BAJA
DE,True,DE.BA,DEC.BA,40.0,Deere & Company,Industrials,Farm & Heavy Construction Machinery,CORE,S&P 500,154829553664.0,0.992,0.19566,BALANCEADO,1,588.71,50.93,595.53,513.96,True,True,True,32.39,5.89,8588000256.0,4814000128.0,376.02,5.64,665.1,12.98,3,3,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.93,1,7.0,0.0,BAJA
KEP,False,,,,Korea Electric Power Corporation,Utilities,Utilities - Regulated Electric,CORE,S&P 500,19323119616.0,0.991,0.19114,BALANCEADO,1,15.43,48.67,17.2,16.04,True,True,True,3.32,0.59,26685313384448.0,8544918175744.0,269.57,4.98,16.0,3.69,3,3,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.5,4,7.0,0.0,BAJA
NOW,False,,,,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,S&P 500,99118964736.0,1.005,0.15488,BALANCEADO,1,102.72,52.31,105.52,153.67,True,True,False,56.74,7.65,2737999872.0,1748000000.0,18.54,0.88,182.29,77.46,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.37,6,7.0,0.0,BAJA
INTU,False,,,,Intuit Inc.,Technology,Software - Application,CORE,S&P 500,108999958528.0,1.213,0.23457001,AGRESIVO,1,408.95,50.0,414.7,601.54,True,True,False,25.48,5.7,6106999808.0,4339999744.0,36.15,1.13,603.49,47.57,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.37,6,7.0,0.0,BAJA
UAL,False,,,,"United Airlines Holdings, Inc.",Industrials,Airlines,CORE,S&P 500,31575398400.0,1.286,0.23987,AGRESIVO,1,91.76,44.93,98.59,100.59,True,True,False,9.54,2.06,7754999808.0,3352999936.0,203.09,4.0,130.17,41.86,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.93,1,7.0,0.0,BAJA
