Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,63507836928.0,1.319,0.16016,AGRESIVO,1,42.88,19.35,57.57,66.24,False,True,False,28.21,3864000000.0,2249999872.0,79.33,64.09,49.47,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.67,2,0,9,MEDIA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2763432394752.0,1.107,0.34390998,BALANCEADO,1,371.81,38.42,398.2,475.32,True,True,False,23.28,175258992640.0,119262003200.0,31.54,587.31,57.96,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.27,3,0,8,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3785009659904.0,1.109,1.5202099,BALANCEADO,1,257.51,52.21,260.72,250.03,True,True,True,32.56,152901992448.0,117776998400.0,102.63,295.32,14.68,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.27,3,0,8,MEDIA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,175281569792.0,1.441,0.12024,AGRESIVO,1,98.84,49.95,102.49,111.2,True,True,False,14.56,19306000384.0,12252000256.0,40.91,128.73,30.25,2,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.75,1,0,8,MEDIA
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,CORE,1282074607616.0,1.915,0.049250003,ESPECULATIVO,0,341.71,33.27,397.63,397.32,False,True,True,319.31,10503000064.0,3793999872.0,17.76,416.15,21.78,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.67,2,0,7,BAJA
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,103034716160.0,1.005,0.15488,BALANCEADO,1,97.63,33.63,109.55,159.12,False,True,False,58.47,2737999872.0,1748000000.0,18.54,184.36,88.84,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.27,3,0,7,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,89674457088.0,1.492,0.35985002,AGRESIVO,1,1768.83,53.94,1848.03,2148.21,True,True,False,44.92,4019000064.0,1996999936.0,169.24,2528.73,42.96,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.67,2,0,7,BAJA
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,1545103081472.0,1.309,0.30238,AGRESIVO,1,610.82,52.82,635.24,683.47,True,True,False,26.04,101891997696.0,60458000384.0,39.16,860.25,40.83,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.75,1,0,7,BAJA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,5576690688.0,1.025,0.14374,BALANCEADO,1,10.43,37.85,11.6,13.3,False,True,False,20.06,75536000.0,282329984.0,3.9,13.8,32.36,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.27,3,0,7,BAJA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3839346081792.0,1.128,0.35705003,BALANCEADO,1,317.38,62.03,309.04,267.03,True,False,True,29.36,150175006720.0,132169998336.0,16.13,376.29,18.56,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.75,1,0,7,BAJA
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,GROWTH,555117314048.0,1.382,0.50458,AGRESIVO,1,1413.74,56.12,1391.47,1060.84,True,False,True,49.64,12266399744.0,9609400320.0,23.92,1488.82,5.31,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.27,3,0,7,BAJA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,16952151040.0,0.994,-0.13465999,BALANCEADO,1,64.28,32.58,82.4,145.82,True,True,False,,-22988000.0,-189224992.0,76.38,167.63,160.79,3,2,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.27,3,0,6,BAJA
OKLO,Oklo Inc.,Utilities,Utilities - Independent Power Producers,GROWTH,8604673024.0,0.943,-0.12236,BALANCEADO,1,49.52,39.82,62.8,85.57,True,True,False,,-138772000.0,-105663000.0,0.1,91.03,83.83,3,2,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,4,0,6,BAJA
NVDA,NVIDIA Corporation,Technology,Semiconductors,CORE,4416218333184.0,2.335,1.01485,ESPECULATIVO,-1,181.7,54.19,182.22,180.34,True,True,True,37.08,133230002176.0,120066998272.0,7.25,268.22,47.62,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.27,3,0,6,BAJA
BA,The Boeing Company,Industrials,Aerospace & Defense,CORE,170520330240.0,1.128,2.90084,BALANCEADO,1,216.99,55.88,221.93,218.83,True,True,True,87.5,-3238000128.0,1888999936.0,1032.89,269.0,23.97,3,2,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.0,7,0,6,BAJA
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,338410766336.0,0.403,0.31562,DEFENSIVO,-1,144.59,42.07,153.09,151.77,True,True,True,21.42,24764999680.0,16161999872.0,68.72,166.77,15.34,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.8,5,0,6,BAJA
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,CORE,331312168960.0,0.361,0.43323,DEFENSIVO,-1,76.97,52.6,77.34,71.41,True,True,True,25.32,16078000128.0,13107000320.0,139.79,83.67,8.7,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.8,5,0,6,BAJA
ORCL,Oracle Corporation,Technology,Software - Infrastructure,CORE,412640739328.0,1.597,0.57572,AGRESIVO,1,143.48,42.84,152.06,217.25,True,True,False,25.76,27441000448.0,16188000256.0,415.26,246.46,71.77,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.27,3,0,6,BAJA
IBM,International Business Machines Corporation,Technology,Information Technology Services,CORE,226902622208.0,0.685,0.35158002,DEFENSIVO,0,241.79,43.55,258.74,277.0,True,True,False,21.69,16117999616.0,10570999808.0,197.33,313.4,29.62,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.27,3,0,6,BAJA
MA,Mastercard Incorporated,Financial Services,Credit Services,CORE,454402506752.0,0.831,2.09915,BALANCEADO,1,509.17,52.85,515.77,552.3,True,True,False,30.8,20544000000.0,14968000512.0,256.04,657.11,29.06,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.0,6,0,6,BAJA
V,Visa Inc.,Financial Services,Credit Services,CORE,595359367168.0,0.799,0.53954,DEFENSIVO,0,308.79,51.95,314.49,335.87,True,True,False,28.99,28987000832.0,20592001024.0,54.61,395.26,28.0,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.0,6,0,6,BAJA
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,CORE,375393943552.0,1.963,0.07082,ESPECULATIVO,0,230.24,64.04,209.78,198.34,True,False,True,88.22,6744999936.0,4268999936.0,6.36,289.35,25.67,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.27,3,0,6,BAJA
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,333434748928.0,1.085,1.45541,BALANCEADO,1,334.77,47.29,358.74,373.22,True,True,False,23.54,25010999296.0,14156000256.0,514.39,408.18,21.93,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.67,2,0,6,BAJA
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,CORE,1009067032576.0,0.661,0.21847,DEFENSIVO,0,126.57,55.71,124.94,109.71,True,False,True,46.36,44027998208.0,21892999168.0,64.44,136.02,7.47,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.8,5,0,6,BAJA
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,CORE,454908444672.0,0.978,0.29650998,BALANCEADO,1,1024.87,65.13,990.6,949.02,True,False,True,53.24,13459999744.0,8549000192.0,60.26,1067.59,4.17,2,3,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.8,5,0,6,BAJA
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,GROWTH,102634455040.0,1.188,0.16364,BALANCEADO,1,283.29,44.1,294.84,328.76,False,True,False,38.33,5632000000.0,2319000064.0,63.94,373.3,31.77,1,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,4,0,6,BAJA
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,CORE,2366781784064.0,1.383,0.22286,AGRESIVO,1,220.47,60.07,213.7,224.6,True,False,False,30.79,145730994176.0,77669998592.0,43.44,281.27,27.58,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,6.67,2,0,6,BAJA
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,CORE,219005190144.0,0.532,,DEFENSIVO,-1,306.9,39.12,321.32,308.93,False,True,True,25.68,14593999872.0,8562999808.0,,344.85,12.37,3,3,5,PULLBACK,SEGUIMIENTO,BAJA,4,6.67,2,0,5,BAJA
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,CORE,210180833280.0,0.41,0.42848,DEFENSIVO,-1,153.76,44.41,159.81,148.01,True,True,True,25.58,18173999104.0,8240000000.0,258.08,170.35,10.79,3,3,5,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.8,5,0,5,BAJA
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,CORE,359857586176.0,1.519,0.43526,AGRESIVO,1,768.97,63.65,717.34,555.35,True,False,True,40.82,13960999936.0,8883999744.0,206.67,742.18,-3.48,2,2,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.0,7,0,5,BAJA
NFLX,"Netflix, Inc.",Communication Services,Entertainment,CORE,420031889408.0,1.669,0.42762002,AGRESIVO,0,99.01,65.7,88.99,106.77,True,False,False,39.14,13659992064.0,10981200896.0,63.78,113.9,15.03,1,4,5,SIN SETUP,SEGUIMIENTO,BAJA,4,6.75,1,0,5,BAJA
RKLB,Rocket Lab Corporation,Industrials,Aerospace & Defense,GROWTH,39261573120.0,2.205,-0.18837999,ESPECULATIVO,-1,68.19,49.86,71.1,58.56,True,True,True,,-185512992.0,-198208992.0,15.39,87.4,28.17,3,2,4,PULLBACK EN TENDENCIA,EVITAR,NULA,0,5.0,7,0,4,IGNORAR
HOOD,"Robinhood Markets, Inc.",Financial Services,Capital Markets,GROWTH,64493596672.0,2.464,0.21993999,ESPECULATIVO,-1,71.63,46.55,77.77,107.55,True,True,False,34.94,,1883000064.0,136.04,111.2,55.24,2,3,4,PULLBACK,EVITAR,NULA,0,5.0,6,0,4,IGNORAR
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,CORE,277195128832.0,0.408,0.12538,DEFENSIVO,-1,305.39,65.16,282.48,312.44,True,False,False,23.08,21624999936.0,12056000512.0,81.62,359.77,17.81,1,4,4,SIN SETUP,EVITAR,NULA,0,3.33,9,0,4,IGNORAR
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,CORE,828407021568.0,1.043,0.16134001,BALANCEADO,1,307.16,64.01,299.01,302.81,True,False,False,15.34,,55680999424.0,,337.04,9.73,1,2,4,SIN SETUP,EVITAR,NULA,0,5.0,6,0,4,IGNORAR
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,CORE,384825589760.0,0.587,0.07231,DEFENSIVO,-1,192.48,43.61,190.02,163.18,False,False,True,29.03,37631000576.0,12298999808.0,24.32,203.54,5.75,1,4,4,SIN SETUP,EVITAR,NULA,0,3.5,8,0,4,IGNORAR
SPY,State Street SPDR S&P 500 ETF Trust,,,ETF,618328096768.0,,,SIN DATO,0,673.67,57.19,674.87,663.59,True,True,True,26.71,,,,,,3,0,3,PULLBACK EN TENDENCIA,EVITAR,NULA,0,2.2,10,0,3,IGNORAR
