Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,63448608768.0,1.319,0.16016,AGRESIVO,1,42.85,19.15,57.57,66.24,False,True,False,28.19,3864000000.0,2249999872.0,79.33,64.09,49.58,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.67,2,0,9,MEDIA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2762652778496.0,1.107,0.34390998,BALANCEADO,1,371.71,38.35,398.2,475.32,True,True,False,23.28,175258992640.0,119262003200.0,31.54,587.31,58.0,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.18,3,0,8,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3784201469952.0,1.109,1.5202099,BALANCEADO,1,257.46,52.15,260.72,250.03,True,True,True,32.55,152901992448.0,117776998400.0,102.63,295.32,14.71,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.18,3,0,8,MEDIA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,175068774400.0,1.441,0.12024,AGRESIVO,1,98.72,49.57,102.49,111.2,True,True,False,14.54,19306000384.0,12252000256.0,40.91,128.73,30.4,2,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.75,1,0,8,MEDIA
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,CORE,1281156055040.0,1.915,0.049250003,ESPECULATIVO,0,341.49,33.21,397.63,397.32,False,True,True,319.08,10503000064.0,3793999872.0,17.76,416.15,21.86,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.67,2,0,7,BAJA
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,102319013888.0,1.005,0.15488,BALANCEADO,1,96.97,32.97,109.54,159.12,False,True,False,58.07,2737999872.0,1748000000.0,18.54,184.36,90.12,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,3,0,7,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,89627549696.0,1.492,0.35985002,AGRESIVO,1,1767.9,53.84,1848.01,2148.21,True,True,False,44.89,4019000064.0,1996999936.0,169.24,2528.73,43.04,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.67,2,0,7,BAJA
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,1544293580800.0,1.309,0.30238,AGRESIVO,1,610.5,52.74,635.24,683.47,True,True,False,26.02,101891997696.0,60458000384.0,39.16,860.25,40.91,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.75,1,0,7,BAJA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,5534659584.0,1.025,0.14374,BALANCEADO,1,10.35,37.15,11.6,13.3,False,True,False,19.9,75536000.0,282329984.0,3.9,13.8,33.38,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,3,0,7,BAJA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3838500405248.0,1.128,0.35705003,BALANCEADO,1,317.31,61.99,309.04,267.03,True,False,True,29.35,150175006720.0,132169998336.0,16.13,376.29,18.59,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.75,1,0,7,BAJA
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,GROWTH,554669637632.0,1.382,0.50458,AGRESIVO,1,1412.6,56.03,1391.44,1060.83,True,False,True,49.6,12266399744.0,9609400320.0,23.92,1489.34,5.43,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.18,3,0,7,BAJA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,16788629504.0,0.994,-0.13465999,BALANCEADO,1,63.65,31.9,82.39,145.82,True,True,False,,-22988000.0,-189224992.0,76.38,167.63,163.37,3,2,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,3,0,6,BAJA
OKLO,Oklo Inc.,Utilities,Utilities - Independent Power Producers,GROWTH,8556958208.0,0.943,-0.12236,BALANCEADO,1,49.3,39.4,62.79,85.57,True,True,False,,-138772000.0,-105663000.0,0.1,91.03,84.65,3,2,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,4,0,6,BAJA
