Ticker,TieneCedear,TickerCedearARS,TickerCedearCCL,CedearsPorAccionUSA,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
ABT,False,,,,Abbott Laboratories,Healthcare,Medical Devices,CORE,S&P 500,177556439040.0,0.782,0.12961,DEFENSIVO,0,96.0,29.26,107.73,122.4,False,True,False,27.47,3.4,12033000448.0,6499999744.0,26.79,1.17,131.44,36.92,4,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.53,4,8,0,MEDIA
GE,False,,,,GE Aerospace,Industrials,Aerospace & Defense,CORE,S&P 500,331591286784.0,1.428,0.44692,AGRESIVO,1,303.6,50.01,312.22,296.87,True,True,True,39.05,17.65,10702999552.0,8600999936.0,114.07,2.01,352.75,16.19,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.79,2,8,0,MEDIA
PSX,False,,,,Phillips 66,Energy,Oil & Gas Refining & Marketing,CORE,S&P 500,64610328576.0,0.755,0.15427,DEFENSIVO,0,155.75,35.92,166.12,141.35,False,True,True,14.92,2.22,6672000000.0,4393999872.0,71.38,3.24,180.6,15.96,3,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.0,1,8,0,MEDIA
CMCSA,False,,,,Comcast Corporation,Communication Services,Telecom Services,CORE,S&P 500,103413727232.0,0.79,0.2141,DEFENSIVO,0,29.73,59.09,30.01,29.23,True,True,True,5.27,1.06,36879998976.0,19997999104.0,107.86,2.85,32.68,9.93,3,5,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.56,3,8,0,MEDIA
BSX,False,,,,Boston Scientific Corporation,Healthcare,Medical Devices,CORE,S&P 500,96029204480.0,0.782,0.12445,DEFENSIVO,0,60.99,33.94,69.61,91.95,True,True,False,33.31,3.95,5338999808.0,2897999872.0,48.92,2.24,98.72,61.86,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.53,4,7,0,BAJA
T,True,T.BA,TC.BA,3.0,AT&T Inc.,Communication Services,Telecom Services,CORE,S&P 500,178759729152.0,0.539,0.18805,DEFENSIVO,-1,26.18,38.52,27.83,26.8,False,True,True,8.4,1.63,44243001344.0,21888999424.0,124.18,3.61,30.39,16.09,3,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.56,3,6,1,BAJA
EOG,False,,,,"EOG Resources, Inc.",Energy,Oil & Gas E&P,CORE,S&P 500,71533092864.0,0.333,0.16829,DEFENSIVO,-1,129.16,38.75,131.69,117.21,False,True,True,14.62,2.4,11724000256.0,4979999744.0,30.62,0.78,149.73,15.93,3,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,1,6,1,BAJA
DE,False,,,,Deere & Company,Industrials,Farm & Heavy Construction Machinery,CORE,S&P 500,154829553664.0,0.992,0.19566,BALANCEADO,1,594.52,53.54,595.39,513.24,True,True,True,32.39,5.89,8588000256.0,4814000128.0,376.02,5.64,665.1,11.87,3,3,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.79,2,7,0,BAJA
VZ,False,,,,Verizon Communications Inc.,Communication Services,Telecom Services,CORE,Dow Jones,190858641408.0,0.27,0.17069,DEFENSIVO,-1,46.44,38.34,49.14,43.6,False,True,True,11.15,1.83,49997000704.0,17173999616.0,174.78,3.7,51.58,11.07,3,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.56,3,7,0,BAJA
NOW,False,,,,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,S&P 500,99118964736.0,1.005,0.15488,BALANCEADO,1,99.72,48.43,105.55,154.74,True,True,False,56.74,7.65,2737999872.0,1748000000.0,18.54,0.88,182.29,82.8,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.45,6,7,0,BAJA
INTU,False,,,,Intuit Inc.,Technology,Software - Application,CORE,S&P 500,108999958528.0,1.213,0.23457001,AGRESIVO,1,404.83,48.44,416.05,605.29,True,True,False,25.48,5.7,6106999808.0,4339999744.0,36.15,1.13,603.49,49.07,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.45,6,7,0,BAJA
NKE,True,NKE.BA,NKEC.BA,12.0,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,Dow Jones,67891269632.0,1.319,0.16016,AGRESIVO,1,46.48,40.71,54.73,65.33,True,True,False,30.16,4.82,3864000000.0,2249999872.0,79.33,2.89,63.64,36.92,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.42,7,8,-1,BAJA
DHR,False,,,,Danaher Corporation,Healthcare,Diagnostics & Research,CORE,S&P 500,140718948352.0,0.986,0.07053,BALANCEADO,1,195.5,51.0,198.98,209.56,True,True,False,39.61,2.68,7834999808.0,3600000000.0,37.49,2.51,261.36,33.69,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.53,4,7,0,BAJA
PATH,False,,,,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,S&P 500,5677437440.0,1.025,0.14374,BALANCEADO,1,10.56,46.12,11.17,13.2,True,True,False,20.42,2.74,75536000.0,282329984.0,3.9,1.08,13.8,30.73,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.45,6,7,0,BAJA
CEG,False,,,,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,GROWTH,S&P 500,106853376000.0,1.188,0.16364,BALANCEADO,1,287.56,46.4,297.88,327.77,True,True,False,39.91,6.35,5632000000.0,2319000064.0,63.94,1.69,373.3,29.82,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.0,9,7,0,BAJA
ACN,False,,,,Accenture plc,Technology,Information Technology Services,CORE,S&P 500,120262180864.0,1.236,0.24763,AGRESIVO,1,195.06,47.1,204.37,245.36,True,True,False,16.02,3.85,12735312896.0,7648264192.0,25.47,0.66,252.0,29.19,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.45,6,7,0,BAJA
