Ticker,TieneCedear,TickerCedearARS,TickerCedearCCL,CedearsPorAccionUSA,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
ABT,False,,,,Abbott Laboratories,Healthcare,Medical Devices,CORE,S&P 500,177556439040.0,0.782,0.12961,DEFENSIVO,0,96.51,29.51,107.98,122.59,False,True,False,27.47,3.4,12033000448.0,6499999744.0,26.79,1.17,131.44,36.19,4,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.37,7,6,2,MEDIA
NKE,True,NKE.BA,NKEC.BA,12.0,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,Dow Jones,67891269632.0,1.319,0.16016,AGRESIVO,1,45.94,38.25,55.05,65.48,True,True,False,30.16,4.82,3864000000.0,2249999872.0,79.33,2.89,63.64,38.53,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.64,4,8,0,MEDIA
GE,False,,,,GE Aerospace,Industrials,Aerospace & Defense,CORE,S&P 500,331591286784.0,1.428,0.44692,AGRESIVO,1,306.39,51.43,312.32,296.59,True,True,True,39.05,17.65,10702999552.0,8600999936.0,114.07,2.01,352.75,15.13,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.86,2,8,0,MEDIA
PSX,False,,,,Phillips 66,Energy,Oil & Gas Refining & Marketing,CORE,S&P 500,64610328576.0,0.755,0.15427,DEFENSIVO,0,156.87,36.88,166.11,141.21,False,True,True,14.92,2.22,6672000000.0,4393999872.0,71.38,3.24,180.6,15.13,3,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.11,1,8,0,MEDIA
CMCSA,False,,,,Comcast Corporation,Communication Services,Telecom Services,CORE,S&P 500,103413727232.0,0.79,0.2141,DEFENSIVO,0,29.59,57.84,30.04,29.25,True,True,True,5.27,1.06,36879998976.0,19997999104.0,107.86,2.85,32.68,10.45,3,5,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.67,3,8,0,MEDIA
EOG,False,,,,"EOG Resources, Inc.",Energy,Oil & Gas E&P,CORE,S&P 500,71533092864.0,0.333,0.16829,DEFENSIVO,-1,128.89,37.77,131.36,117.19,False,True,True,14.62,2.4,11724000256.0,4979999744.0,30.62,0.78,149.73,16.17,3,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.11,1,7,0,BAJA
LOW,False,,,,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,S&P 500,136768389120.0,0.965,,BALANCEADO,1,251.76,57.48,253.15,248.37,True,True,True,20.58,-13.79,12400000000.0,6636000256.0,,3.6,285.58,13.43,3,3,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.64,4,7,0,BAJA
DE,False,,,,Deere & Company,Industrials,Farm & Heavy Construction Machinery,CORE,S&P 500,154829553664.0,0.992,0.19566,BALANCEADO,1,590.43,51.92,594.81,512.86,True,True,True,32.39,5.89,8588000256.0,4814000128.0,376.02,5.64,665.1,12.65,3,3,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.86,2,7,0,BAJA
VZ,False,,,,Verizon Communications Inc.,Communication Services,Telecom Services,CORE,Dow Jones,190858641408.0,0.27,0.17069,DEFENSIVO,-1,46.71,39.75,49.16,43.59,False,True,True,11.15,1.83,49997000704.0,17173999616.0,174.78,3.7,51.58,10.43,3,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.67,3,7,0,BAJA
NOW,False,,,,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,S&P 500,99118964736.0,1.005,0.15488,BALANCEADO,1,96.21,43.89,105.6,155.25,True,True,False,56.74,7.65,2737999872.0,1748000000.0,18.54,0.88,182.29,89.47,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.38,6,7,0,BAJA
