Ticker,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
SYK,Stryker Corporation,Healthcare,Medical Devices,CORE,S&P 500,131363602432.0,0.926,0.15079,BALANCEADO,1,343.26,50.74,354.29,368.6,True,True,False,40.83,5.85,6949000192.0,3246000128.0,72.97,2.35,420.62,22.54,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.61,5,0.0,7.0,BAJA
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,CORE,S&P 500,142370422784.0,1.279,0.2148,AGRESIVO,1,133.23,54.6,135.11,157.34,True,True,False,26.93,6.2,13763999744.0,5365000192.0,64.22,1.08,154.93,16.29,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.45,6,0.0,7.0,BAJA
GE,GE Aerospace,Industrials,Aerospace & Defense,CORE,S&P 500,331591286784.0,1.428,0.44692,AGRESIVO,1,314.64,56.48,312.6,296.1,True,False,True,39.05,17.65,10702999552.0,8600999936.0,114.07,2.01,352.75,12.11,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.93,2,0.0,7.0,BAJA
ADI,"Analog Devices, Inc.",Technology,Semiconductors,CORE,S&P 500,168845410304.0,1.053,0.07862,BALANCEADO,1,345.45,62.33,329.61,272.5,True,False,True,63.23,5.0,5459077120.0,2706852096.0,25.75,1.59,386.59,11.91,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.45,6,0.0,7.0,BAJA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,S&P 500,4079834365952.0,1.128,0.35705003,BALANCEADO,1,336.64,71.14,307.76,270.89,True,False,True,31.17,9.82,150175006720.0,132169998336.0,16.13,0.45,375.93,11.67,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.56,1,0.0,7.0,BAJA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,Dow Jones,3906855501824.0,1.109,1.5202099,BALANCEADO,1,265.57,61.39,260.79,251.53,True,False,True,33.69,44.32,152901992448.0,117776998400.0,102.63,0.59,296.33,11.58,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.45,6,0.0,7.0,BAJA
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,CORE,S&P 500,436501184512.0,0.978,0.29650998,BALANCEADO,1,984.96,46.25,994.28,949.1,False,True,True,51.22,26.38,13459999744.0,8549000192.0,60.26,0.76,1067.94,8.42,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.75,3,0.0,7.0,BAJA
PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,CORE,S&P 500,45719461888.0,1.411,0.25732002,AGRESIVO,1,49.72,65.81,44.42,60.74,True,False,False,9.18,2.26,6648999936.0,5232999936.0,60.7,1.85,53.0,6.59,1,5,7,SIN SETUP,SEGUIMIENTO,BAJA,4,5.0,8,0.0,7.0,BAJA
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,CORE,S&P 500,213707472896.0,0.422,0.18177,DEFENSIVO,-1,191.08,29.31,209.37,218.98,False,True,False,19.64,3.57,32821000192.0,10992000000.0,208.85,3.77,268.68,40.61,4,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.56,1,0.0,6.0,BAJA
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,CORE,S&P 500,246840033280.0,0.451,,DEFENSIVO,-1,158.36,38.96,172.93,165.31,True,True,True,21.82,-24.67,18722000896.0,11315999744.0,,2.65,195.17,23.24,4,3,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.75,3,0.0,6.0,BAJA
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,Dow Jones,335235710976.0,0.403,0.31562,DEFENSIVO,-1,143.47,41.31,152.55,151.39,True,True,True,21.22,6.38,24764999680.0,16161999872.0,68.72,1.48,164.95,14.97,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.75,3,0.0,6.0,BAJA
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,CORE,S&P 500,173247217664.0,0.404,0.40655,DEFENSIVO,-1,139.51,46.9,144.75,125.53,True,True,True,20.59,7.63,14577000448.0,8510000128.0,112.92,1.75,157.86,13.15,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.61,5,0.0,6.0,BAJA
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,CORE,Dow Jones,369238278144.0,0.587,0.07231,DEFENSIVO,-1,185.41,37.56,191.67,164.29,False,True,True,27.92,1.97,37631000576.0,12298999808.0,24.32,1.24,207.96,12.16,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.22,7,0.0,6.0,BAJA
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,CORE,Dow Jones,622112210944.0,0.288,0.110810004,DEFENSIVO,-1,149.6,38.42,154.58,125.56,False,True,True,22.34,2.41,59385999360.0,28843999232.0,18.94,0.85,162.71,8.76,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.22,7,0.0,6.0,BAJA
RTX,RTX Corporation,Industrials,Aerospace & Defense,CORE,S&P 500,267943100416.0,0.428,0.109519996,DEFENSIVO,-1,199.32,49.91,200.57,176.63,True,True,True,40.05,4.1,14734999552.0,6732000256.0,59.51,2.71,216.34,8.54,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.93,2,0.0,6.0,BAJA
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,CORE,S&P 500,76185673728.0,1.145,0.93718004,BALANCEADO,1,264.86,46.38,277.14,260.64,True,True,True,25.22,23.66,4655000064.0,3065999872.0,285.52,1.98,275.88,4.16,3,2,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.93,2,0.0,6.0,BAJA
