Ticker,TieneCedear,TickerCedearARS,TickerCedearCCL,CedearsPorAccionUSA,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NOC,False,,,,Northrop Grumman Corporation,Industrials,Aerospace & Defense,CORE,S&P 500,96487383040.0,0.046,0.26167,DEFENSIVO,-1,617.79,24.29,705.5,617.96,False,True,True,23.34,5.79,6819999744.0,4182000128.0,107.26,2.62,736.1,19.15,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.93,1,8,0,MEDIA
JNJ,True,JNJ.BA,JNJC.BA,15.0,Johnson & Johnson,Healthcare,Drug Manufacturers - General,CORE,Dow Jones,573483646976.0,0.329,,DEFENSIVO,-1,225.29,27.64,240.88,203.45,False,True,True,21.59,7.03,34104750080.0,21040001024.0,60.5,1.45,241.92,7.38,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.74,2,8,0,MEDIA
ABT,False,,,,Abbott Laboratories,Healthcare,Medical Devices,CORE,S&P 500,177556439040.0,0.782,0.12961,DEFENSIVO,0,93.76,25.87,107.39,122.19,False,True,False,27.47,3.4,12033000448.0,6499999744.0,26.79,1.17,131.44,40.19,4,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.74,2,8,0,MEDIA
GE,False,,,,GE Aerospace,Industrials,Aerospace & Defense,CORE,S&P 500,331591286784.0,1.428,0.44692,AGRESIVO,1,286.06,41.39,311.52,297.07,True,True,True,39.05,17.65,10702999552.0,8600999936.0,114.07,2.01,352.75,23.31,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.93,1,8,0,MEDIA
EW,False,,,,Edwards Lifesciences Corporation,Healthcare,Medical Devices,CORE,S&P 500,45511487488.0,0.945,0.10353,BALANCEADO,1,80.46,48.94,81.39,80.85,True,True,True,43.29,4.4,1794499968.0,1060099968.0,6.82,0.39,96.78,20.28,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.74,2,8,0,MEDIA
CMCSA,False,,,,Comcast Corporation,Communication Services,Telecom Services,CORE,S&P 500,103413727232.0,0.79,0.2141,DEFENSIVO,0,29.58,57.09,29.98,29.21,True,True,True,5.27,1.06,36879998976.0,19997999104.0,107.86,2.85,32.68,10.49,3,5,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.67,4,8,0,MEDIA
BSX,False,,,,Boston Scientific Corporation,Healthcare,Medical Devices,CORE,S&P 500,96029204480.0,0.782,0.12445,DEFENSIVO,0,60.26,32.41,69.29,91.72,True,True,False,33.31,3.95,5338999808.0,2897999872.0,48.92,2.24,98.72,63.82,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.74,2,7,0,BAJA
T,True,T.BA,TC.BA,3.0,AT&T Inc.,Communication Services,Telecom Services,CORE,S&P 500,178759729152.0,0.539,0.18805,DEFENSIVO,-1,26.14,38.15,27.81,26.79,False,True,True,8.4,1.63,44243001344.0,21888999424.0,124.18,3.61,30.39,16.26,3,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.67,4,7,0,BAJA
DE,False,,,,Deere & Company,Industrials,Farm & Heavy Construction Machinery,CORE,S&P 500,154829553664.0,0.992,0.19566,BALANCEADO,1,591.52,52.15,595.55,513.59,True,True,True,32.39,5.89,8588000256.0,4814000128.0,376.02,5.64,665.1,12.44,3,3,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.93,1,7,0,BAJA
VZ,False,,,,Verizon Communications Inc.,Communication Services,Telecom Services,CORE,Dow Jones,190858641408.0,0.27,0.17069,DEFENSIVO,-1,46.6,39.84,49.15,43.62,False,True,True,11.15,1.83,49997000704.0,17173999616.0,174.78,3.7,51.58,10.69,3,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.67,4,7,0,BAJA
NOW,False,,,,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,S&P 500,99118964736.0,1.005,0.15488,BALANCEADO,1,101.72,50.92,105.57,154.2,True,True,False,56.74,7.65,2737999872.0,1748000000.0,18.54,0.88,182.29,79.2,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.45,6,7,0,BAJA
INTU,False,,,,Intuit Inc.,Technology,Software - Application,CORE,S&P 500,108999958528.0,1.213,0.23457001,AGRESIVO,1,411.92,50.88,415.41,603.45,True,True,False,25.48,5.7,6106999808.0,4339999744.0,36.15,1.13,603.49,46.51,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.45,6,6,1,BAJA
NKE,True,NKE.BA,NKEC.BA,12.0,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,Dow Jones,67891269632.0,1.319,0.16016,AGRESIVO,1,46.54,41.02,54.38,65.18,True,True,False,30.16,4.82,3864000000.0,2249999872.0,79.33,2.89,63.64,36.74,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.67,3,7,0,BAJA
DHR,False,,,,Danaher Corporation,Healthcare,Diagnostics & Research,CORE,S&P 500,140718948352.0,0.986,0.07053,BALANCEADO,1,192.18,46.42,198.49,209.5,True,True,False,39.61,2.68,7834999808.0,3600000000.0,37.49,2.51,261.36,36.0,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.74,2,7,0,BAJA
CEG,False,,,,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,GROWTH,S&P 500,106853376000.0,1.188,0.16364,BALANCEADO,1,281.16,42.96,298.27,327.62,True,True,False,39.91,6.35,5632000000.0,2319000064.0,63.94,1.69,373.3,32.77,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.17,8,7,0,BAJA
ACN,False,,,,Accenture plc,Technology,Information Technology Services,CORE,S&P 500,120262180864.0,1.236,0.24763,AGRESIVO,1,197.04,49.1,203.5,244.83,True,True,False,16.02,3.85,12735312896.0,7648264192.0,25.47,0.66,252.0,27.89,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.45,6,7,0,BAJA
SYK,False,,,,Stryker Corporation,Healthcare,Medical Devices,CORE,S&P 500,131363602432.0,0.926,0.15079,BALANCEADO,1,332.02,40.73,352.44,367.46,True,True,False,40.83,5.85,6949000192.0,3246000128.0,72.97,2.35,420.62,26.68,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.74,2,7,0,BAJA
PATH,False,,,,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,S&P 500,5677437440.0,1.025,0.14374,BALANCEADO,1,10.9,50.29,11.13,13.19,True,True,False,20.42,2.74,75536000.0,282329984.0,3.9,1.08,13.8,26.65,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.45,6,6,1,BAJA
PSX,False,,,,Phillips 66,Energy,Oil & Gas Refining & Marketing,CORE,S&P 500,64610328576.0,0.755,0.15427,DEFENSIVO,0,158.55,40.24,166.14,141.51,False,True,True,14.92,2.22,6672000000.0,4393999872.0,71.38,3.24,180.6,13.91,2,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.4,7,8,-1,BAJA
EMR,False,,,,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,CORE,S&P 500,79172132864.0,1.278,0.09646,AGRESIVO,1,145.2,59.72,140.97,137.72,True,False,True,34.51,3.9,5878000128.0,2304999936.0,69.28,2.39,164.17,13.06,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.93,1,7,0,BAJA
GOOGL,True,GOOGL.BA,GOOGLC.BA,58.0,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,S&P 500,4079834365952.0,1.128,0.35705003,BALANCEADO,1,334.42,65.01,308.23,274.09,True,False,True,31.17,9.82,150175006720.0,132169998336.0,16.13,0.45,375.93,12.41,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.67,4,7,0,BAJA
AAPL,True,AAPL.BA,AAPLC.BA,20.0,Apple Inc.,Technology,Consumer Electronics,CORE,Dow Jones,3906855501824.0,1.109,1.5202099,BALANCEADO,1,265.59,56.02,260.26,252.7,True,False,True,33.69,44.32,152901992448.0,117776998400.0,102.63,0.59,296.33,11.57,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.45,6,7,0,BAJA
UPS,False,,,,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,CORE,S&P 500,87822188544.0,1.098,0.33772,BALANCEADO,1,106.03,62.6,105.37,97.19,True,False,True,15.76,5.41,12211999744.0,5571999744.0,175.88,2.34,112.71,6.3,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.93,1,7,0,BAJA
PM,False,,,,Philip Morris International Inc.,Consumer Defensive,Tobacco,CORE,S&P 500,246840033280.0,0.451,,DEFENSIVO,-1,155.69,36.71,171.01,164.87,True,True,True,21.82,-24.67,18722000896.0,11315999744.0,,2.65,195.17,25.36,4,3,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.5,5,6,0,BAJA
MCD,False,,,,McDonald's Corporation,Consumer Cyclical,Restaurants,CORE,Dow Jones,217694519296.0,0.532,,DEFENSIVO,-1,303.24,39.94,319.08,309.61,True,True,True,25.63,-121.58,14593999872.0,8562999808.0,,3.76,344.79,13.7,4,3,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.67,3,5,1,BAJA
LLY,False,,,,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,CORE,S&P 500,808891121664.0,0.504,1.01159,DEFENSIVO,-1,899.82,40.48,968.16,906.66,True,True,True,39.35,30.48,31693000704.0,20640000000.0,165.31,1.38,1209.69,34.44,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.74,2,6,0,BAJA
GD,False,,,,General Dynamics Corporation,Industrials,Aerospace & Defense,CORE,S&P 500,91954880512.0,0.387,0.17658001,DEFENSIVO,-1,326.42,32.86,349.4,337.65,False,True,True,21.96,3.58,6344000000.0,4209999872.0,38.2,1.54,393.93,20.68,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.93,1,6,0,BAJA
GILD,False,,,,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,CORE,S&P 500,173247217664.0,0.404,0.40655,DEFENSIVO,-1,132.75,33.34,143.83,126.03,False,True,True,20.59,7.63,14577000448.0,8510000128.0,112.92,1.75,157.86,18.91,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.74,2,6,0,BAJA
PG,False,,,,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,Dow Jones,335235710976.0,0.403,0.31562,DEFENSIVO,-1,142.71,41.96,151.49,151.07,True,True,True,21.22,6.38,24764999680.0,16161999872.0,68.72,1.48,164.95,15.59,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.5,5,6,0,BAJA
MRK,False,,,,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,CORE,S&P 500,292360355840.0,0.275,0.36882,DEFENSIVO,-1,112.69,37.37,118.9,98.74,False,True,True,16.24,5.56,29105000448.0,18254000128.0,95.96,1.74,129.26,14.7,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.74,2,6,0,BAJA
RTX,False,,,,RTX Corporation,Industrials,Aerospace & Defense,CORE,S&P 500,267943100416.0,0.428,0.109519996,DEFENSIVO,-1,188.85,35.85,200.2,177.6,False,True,True,40.05,4.1,14734999552.0,6732000256.0,59.51,2.71,216.34,14.55,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.93,1,6,0,BAJA
CVX,False,,,,Chevron Corporation,Energy,Oil & Gas Integrated,CORE,Dow Jones,369238278144.0,0.587,0.07231,DEFENSIVO,-1,184.45,39.21,192.07,165.06,False,True,True,27.92,1.97,37631000576.0,12298999808.0,24.32,1.24,207.96,12.75,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.4,7,6,0,BAJA
SO,False,,,,The Southern Company,Utilities,Utilities - Regulated Electric,CORE,S&P 500,106969882624.0,0.405,0.11043,DEFENSIVO,-1,92.62,34.08,95.52,92.64,False,True,True,24.21,2.95,13927000064.0,4341000192.0,190.59,5.32,102.18,10.33,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.17,8,6,0,BAJA
DUK,False,,,,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,CORE,S&P 500,100063109120.0,0.454,0.09724,DEFENSIVO,-1,126.77,38.52,129.42,123.38,False,True,True,20.38,1.97,16280999936.0,4904999936.0,171.84,5.6,139.65,10.16,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.17,8,6,0,BAJA
XOM,False,,,,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,CORE,Dow Jones,622112210944.0,0.288,0.110810004,DEFENSIVO,-1,148.15,39.63,154.72,126.32,False,True,True,22.34,2.41,59385999360.0,28843999232.0,18.94,0.85,162.71,9.83,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.4,7,6,0,BAJA
CME,False,,,,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,CORE,S&P 500,108352634880.0,0.296,0.1475,DEFENSIVO,-1,285.51,35.23,305.67,281.33,False,True,True,26.74,3.73,4590000128.0,4020999936.0,13.08,0.82,311.67,9.16,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.09,9,6,0,BAJA
CB,False,,,,Chubb Limited,Financial Services,Insurance - Property & Casualty,CORE,S&P 500,128891314176.0,0.503,0.14337,DEFENSIVO,-1,328.93,51.69,329.21,298.25,True,True,True,12.84,1.75,13267999744.0,10309999616.0,30.94,1.86,342.09,4.0,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.09,9,5,1,BAJA
ITW,False,,,,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,CORE,S&P 500,76185673728.0,1.145,0.93718004,BALANCEADO,1,272.01,54.18,275.79,260.96,True,True,True,25.22,23.66,4655000064.0,3065999872.0,285.52,1.98,275.88,1.42,3,2,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.93,1,6,0,BAJA
