Ticker,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,Dow Jones,64707358720.0,1.319,0.16016,AGRESIVO,1,43.69,28.21,56.05,65.87,False,True,False,28.75,4.59,3864000000.0,2249999872.0,79.33,2.89,63.64,45.66,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.33,1,9,0,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,Dow Jones,3804851863552.0,1.109,1.5202099,BALANCEADO,1,258.87,53.12,260.88,251.21,True,True,True,32.73,43.16,152901992448.0,117776998400.0,102.63,0.59,296.33,14.47,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.82,6,8,0,MEDIA
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,CORE,Dow Jones,995513925632.0,0.661,0.21847,DEFENSIVO,0,124.87,50.4,125.66,110.3,True,True,True,45.74,9.99,44027998208.0,21892999168.0,64.44,1.55,136.44,9.26,3,4,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.2,2,7,0,BAJA
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,S&P 500,92377767936.0,1.005,0.15488,BALANCEADO,1,87.55,31.67,106.63,156.88,False,True,False,52.43,7.07,2737999872.0,1748000000.0,18.54,0.88,182.29,108.21,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.82,6,7,0,BAJA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,Dow Jones,2904944803840.0,1.107,0.34390998,BALANCEADO,1,390.83,56.27,392.11,473.1,True,True,False,24.44,7.43,175258992640.0,119262003200.0,31.54,0.7,585.41,49.79,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.82,6,6,1,BAJA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,S&P 500,5312738304.0,1.025,0.14374,BALANCEADO,1,9.94,38.4,11.3,13.25,False,True,False,19.11,2.56,75536000.0,282329984.0,3.9,1.08,13.8,38.88,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.82,6,7,0,BAJA
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,GROWTH,S&P 500,106851557376.0,1.188,0.16364,BALANCEADO,1,294.93,51.18,295.03,328.16,True,True,False,39.8,6.35,5632000000.0,2319000064.0,63.94,1.69,373.3,26.57,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,5,7,0,BAJA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,S&P 500,4012923420672.0,1.128,0.35705003,BALANCEADO,1,331.73,69.06,307.88,270.09,True,False,True,30.72,9.66,150175006720.0,132169998336.0,16.13,0.45,375.93,13.32,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.0,3,7,0,BAJA
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,CORE,S&P 500,433054547968.0,0.978,0.29650998,BALANCEADO,1,975.64,42.18,993.97,949.1,False,True,True,50.76,26.17,13459999744.0,8549000192.0,60.26,0.76,1067.94,9.46,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.2,2,7,0,BAJA
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,Dow Jones,338141839360.0,0.403,0.31562,DEFENSIVO,-1,144.48,43.59,152.74,151.48,True,True,True,21.4,6.42,24764999680.0,16161999872.0,68.72,1.48,164.95,14.17,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.2,2,6,0,BAJA
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,CORE,Dow Jones,369517133824.0,0.587,0.07231,DEFENSIVO,-1,185.51,37.75,191.41,164.08,False,True,True,27.94,1.97,37631000576.0,12298999808.0,24.32,1.24,207.96,12.1,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,4,6,0,BAJA
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,CORE,Dow Jones,614381060096.0,0.288,0.110810004,DEFENSIVO,-1,147.81,36.22,154.32,125.35,False,True,True,22.06,2.38,59385999360.0,28843999232.0,18.94,0.85,162.71,10.08,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,4,6,0,BAJA
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,CORE,Dow Jones,328170176512.0,0.361,0.43323,DEFENSIVO,-1,76.25,47.47,77.61,71.55,True,True,True,25.08,10.2,16078000128.0,13107000320.0,139.79,2.98,83.67,9.73,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.2,2,6,0,BAJA
IBM,International Business Machines Corporation,Technology,Information Technology Services,CORE,Dow Jones,224073318400.0,0.685,0.35158002,DEFENSIVO,0,238.78,43.95,253.55,275.89,True,True,False,21.45,6.85,16117999616.0,10570999808.0,197.33,4.01,307.48,28.77,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.82,6,6,0,BAJA
MA,Mastercard Incorporated,Financial Services,Credit Services,CORE,S&P 500,455955349504.0,0.831,2.09915,BALANCEADO,1,510.91,54.03,513.67,551.42,True,True,False,30.91,59.04,20544000000.0,14968000512.0,256.04,0.97,657.11,28.62,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,4.75,7,6,0,BAJA
V,Visa Inc.,Financial Services,Credit Services,CORE,Dow Jones,598897262592.0,0.799,0.53954,DEFENSIVO,0,310.62,53.97,313.03,335.1,True,True,False,29.19,15.5,28987000832.0,20592001024.0,54.61,0.73,394.86,27.12,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,4.75,7,6,0,BAJA
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,Dow Jones,339919339520.0,1.085,1.45541,BALANCEADO,1,341.27,51.68,355.91,372.81,True,True,False,23.98,26.53,25010999296.0,14156000256.0,514.39,2.64,408.21,19.62,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.33,1,6,0,BAJA
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,CORE,S&P 500,1363614892032.0,1.915,0.049250003,ESPECULATIVO,0,363.3,45.42,391.68,397.67,True,True,False,336.48,16.6,10503000064.0,3793999872.0,17.76,1.4,415.3,14.31,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.33,1,6,0,BAJA
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,CORE,S&P 500,413048274944.0,1.963,0.07082,ESPECULATIVO,0,253.38,73.19,209.58,200.48,True,False,True,96.69,6.55,6744999936.0,4268999936.0,6.36,0.59,289.35,14.2,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.82,6,6,0,BAJA
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,GROWTH,S&P 500,595963740160.0,1.382,0.50458,AGRESIVO,1,1517.77,64.43,1395.4,1074.57,True,False,True,52.43,25.77,12266399744.0,9609400320.0,23.92,0.38,1510.88,-0.45,2,3,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.82,6,6,0,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,S&P 500,93248339968.0,1.492,0.35985002,AGRESIVO,1,1839.32,60.55,1814.35,2134.03,True,False,False,46.7,13.82,4019000064.0,1996999936.0,169.24,2.84,2490.27,35.39,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,6.33,1,6,0,BAJA
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,S&P 500,1670493110272.0,1.309,0.30238,AGRESIVO,1,660.33,64.44,630.41,682.01,True,False,False,28.13,7.69,101891997696.0,60458000384.0,39.16,0.84,855.68,29.58,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,6.0,3,6,0,BAJA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,Dow Jones,181781037056.0,1.441,0.12024,AGRESIVO,1,102.5,60.36,101.66,110.83,True,False,False,15.1,1.68,19306000384.0,12252000256.0,40.91,2.42,128.39,25.26,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,6.0,3,6,0,BAJA
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,CORE,Dow Jones,2686949785600.0,1.383,0.22286,AGRESIVO,1,249.85,76.65,213.58,225.16,True,False,False,34.85,6.52,145730994176.0,77669998592.0,43.44,1.23,281.18,12.54,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,6.33,1,6,0,BAJA
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,CORE,Dow Jones,214833446912.0,0.532,,DEFENSIVO,-1,302.23,35.46,320.61,309.28,False,True,True,25.31,-119.98,14593999872.0,8562999808.0,,3.76,344.79,14.08,3,3,5,PULLBACK,SEGUIMIENTO,BAJA,4,6.33,1,5,0,BAJA
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,CORE,S&P 500,213201780736.0,0.41,0.42848,DEFENSIVO,-1,155.97,49.17,160.36,148.57,True,True,True,26.0,10.45,18173999104.0,8240000000.0,258.08,2.92,170.06,9.03,3,3,5,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.2,2,5,0,BAJA
