Ticker,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
T,AT&T Inc.,Communication Services,Telecom Services,CORE,S&P 500,179109756928.0,0.539,0.18805,DEFENSIVO,-1,25.58,27.35,27.88,26.83,False,True,True,8.42,1.63,44243001344.0,21888999424.0,124.18,3.61,30.39,18.81,5,5,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.56,1,9,0,MEDIA
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,CORE,Dow Jones,190112120832.0,0.27,0.17069,DEFENSIVO,-1,45.08,23.34,49.15,43.56,False,True,True,11.1,1.82,49997000704.0,17173999616.0,174.78,3.7,51.58,14.42,5,5,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.56,1,9,0,MEDIA
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,Dow Jones,67780202496.0,1.319,0.16016,AGRESIVO,1,45.77,37.39,55.73,65.75,True,True,False,30.11,4.81,3864000000.0,2249999872.0,79.33,2.89,63.64,39.04,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.91,3,7,1,MEDIA
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,CORE,S&P 500,45058465792.0,0.945,0.10353,BALANCEADO,1,77.58,36.36,81.31,80.79,False,True,True,42.86,4.36,1794499968.0,1060099968.0,6.82,0.39,96.78,24.75,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.58,5,8,0,MEDIA
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,CORE,S&P 500,79326765056.0,1.278,0.09646,AGRESIVO,1,141.07,55.56,141.76,137.57,True,True,True,34.58,3.91,5878000128.0,2304999936.0,69.28,2.39,164.17,16.37,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.93,2,7,1,MEDIA
CMCSA,Comcast Corporation,Communication Services,Telecom Services,CORE,S&P 500,102885367808.0,0.79,0.2141,DEFENSIVO,0,28.24,41.83,30.06,29.3,True,True,True,5.24,1.05,36879998976.0,19997999104.0,107.86,2.85,32.68,15.73,3,5,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.56,1,8,0,MEDIA
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,CORE,S&P 500,64221372416.0,0.755,0.15427,DEFENSIVO,0,160.16,38.56,165.73,140.81,False,True,True,14.83,2.21,6672000000.0,4393999872.0,71.38,3.24,180.6,12.76,3,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.33,7,8,0,MEDIA
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,CORE,S&P 500,86193233920.0,1.286,0.15869,AGRESIVO,1,361.56,49.57,366.5,283.15,True,True,True,19.29,2.9,11559999488.0,4477000192.0,140.99,3.64,403.07,11.48,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.93,2,7,1,MEDIA
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,CORE,S&P 500,87193436160.0,1.098,0.33772,BALANCEADO,1,102.62,55.43,106.11,97.14,True,True,True,15.64,5.37,12211999744.0,5571999744.0,175.88,2.34,112.71,9.84,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.93,2,8,0,MEDIA
ABT,Abbott Laboratories,Healthcare,Medical Devices,CORE,S&P 500,175975153664.0,0.782,0.12961,DEFENSIVO,0,101.27,35.99,108.48,122.99,True,True,False,27.22,3.37,12033000448.0,6499999744.0,26.79,1.17,131.44,29.79,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.58,5,7,0,BAJA
