Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,87893409792.0,1.005,0.15488,BALANCEADO,1,83.31,22.57,107.78,158.01,False,True,False,49.88,2737999872.0,1748000000.0,18.54,183.99,120.86,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.45,3,0,9,MEDIA
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,63537455104.0,1.319,0.16016,AGRESIVO,1,42.9,23.19,56.81,66.06,False,True,False,28.23,3864000000.0,2249999872.0,79.33,64.09,49.4,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.67,2,0,9,MEDIA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2763581030400.0,1.107,0.34390998,BALANCEADO,1,371.83,39.02,393.9,474.18,True,True,False,23.28,175258992640.0,119262003200.0,31.54,587.31,57.95,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.45,3,0,8,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3832190337024.0,1.109,1.5202099,BALANCEADO,1,260.74,55.94,260.88,250.64,True,True,True,33.05,152901992448.0,117776998400.0,102.63,296.12,13.57,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.45,3,0,8,MEDIA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,175831318528.0,1.441,0.12024,AGRESIVO,1,99.14,50.64,102.08,111.02,True,True,False,14.6,19306000384.0,12252000256.0,40.91,128.39,29.5,2,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.75,1,0,8,MEDIA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,15227265024.0,0.994,-0.13465999,BALANCEADO,1,57.74,26.21,79.35,144.44,False,True,False,,-22988000.0,-189224992.0,76.38,167.15,189.49,4,2,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.45,3,0,7,BAJA
IBM,International Business Machines Corporation,Technology,Information Technology Services,CORE,218944913408.0,0.685,0.35158002,DEFENSIVO,0,233.29,37.03,256.39,276.44,True,True,False,20.93,16117999616.0,10570999808.0,197.33,310.76,33.21,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.45,3,0,7,BAJA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,5114880512.0,1.025,0.14374,BALANCEADO,1,9.56,30.81,11.42,13.27,False,True,False,18.39,75536000.0,282329984.0,3.9,13.8,44.4,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.45,3,0,7,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,89796378624.0,1.492,0.35985002,AGRESIVO,1,1771.23,53.55,1828.19,2141.16,True,True,False,44.9,4019000064.0,1996999936.0,169.24,2505.65,41.46,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.67,2,0,7,BAJA
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,1589319565312.0,1.309,0.30238,AGRESIVO,1,628.28,57.1,633.58,682.71,True,True,False,26.74,101891997696.0,60458000384.0,39.16,860.25,36.92,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.75,1,0,7,BAJA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3841161691136.0,1.128,0.35705003,BALANCEADO,1,317.52,61.72,308.35,268.55,True,False,True,29.4,150175006720.0,132169998336.0,16.13,376.29,18.51,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.75,1,0,7,BAJA
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,CORE,445434068992.0,0.978,0.29650998,BALANCEADO,1,1003.53,52.2,992.8,949.19,True,False,True,52.27,13459999744.0,8549000192.0,60.26,1067.94,6.42,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.8,4,0,7,BAJA
