Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,63574482944.0,1.319,0.16016,AGRESIVO,1,42.93,19.58,57.57,66.24,False,True,False,28.24,3864000000.0,2249999872.0,79.33,64.09,49.3,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.67,2,0,9,MEDIA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2767891988480.0,1.107,0.34390998,BALANCEADO,1,372.42,38.89,398.21,475.32,True,True,False,23.32,175258992640.0,119262003200.0,31.54,587.31,57.7,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.27,3,0,8,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3788390268928.0,1.109,1.5202099,BALANCEADO,1,257.75,52.49,260.73,250.03,True,True,True,32.59,152901992448.0,117776998400.0,102.63,295.32,14.58,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.27,3,0,8,MEDIA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,175565307904.0,1.441,0.12024,AGRESIVO,1,99.01,50.47,102.5,111.21,True,True,False,14.58,19306000384.0,12252000256.0,40.91,128.73,30.02,2,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.75,1,0,8,MEDIA
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,CORE,1284607574016.0,1.915,0.049250003,ESPECULATIVO,0,342.35,33.45,397.64,397.32,False,True,True,319.94,10503000064.0,3793999872.0,17.76,416.15,21.56,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.67,2,0,7,BAJA
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,103404011520.0,1.005,0.15488,BALANCEADO,1,98.0,34.02,109.56,159.12,False,True,False,58.68,2737999872.0,1748000000.0,18.54,184.36,88.12,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.27,3,0,7,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,89789276160.0,1.492,0.35985002,AGRESIVO,1,1771.09,54.17,1848.08,2148.22,True,True,False,44.97,4019000064.0,1996999936.0,169.24,2528.73,42.78,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.67,2,0,7,BAJA
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,1548973244416.0,1.309,0.30238,AGRESIVO,1,612.35,53.2,635.28,683.48,True,True,False,26.1,101891997696.0,60458000384.0,39.16,860.25,40.48,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.75,1,0,7,BAJA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,5590808064.0,1.025,0.14374,BALANCEADO,1,10.45,38.09,11.6,13.3,False,True,False,20.11,75536000.0,282329984.0,3.9,13.8,32.11,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.27,3,0,7,BAJA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3846301548544.0,1.128,0.35705003,BALANCEADO,1,317.95,62.32,309.05,267.03,True,False,True,29.41,150175006720.0,132169998336.0,16.13,376.29,18.35,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.75,1,0,7,BAJA
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,GROWTH,555898699776.0,1.382,0.50458,AGRESIVO,1,1415.73,56.29,1391.51,1060.85,True,False,True,49.71,12266399744.0,9609400320.0,23.92,1489.34,5.2,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.27,3,0,7,BAJA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,17006219264.0,0.994,-0.13465999,BALANCEADO,1,64.48,32.81,82.41,145.82,True,True,False,,-22988000.0,-189224992.0,76.38,167.63,159.98,3,2,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.27,3,0,6,BAJA
OKLO,Oklo Inc.,Utilities,Utilities - Independent Power Producers,GROWTH,8563884032.0,0.943,-0.12236,BALANCEADO,1,49.34,39.47,62.79,85.57,True,True,False,,-138772000.0,-105663000.0,0.1,91.03,84.5,3,2,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,4,0,6,BAJA
NVDA,NVIDIA Corporation,Technology,Semiconductors,CORE,4420958420992.0,2.335,1.01485,ESPECULATIVO,-1,181.88,54.39,182.22,180.34,True,True,True,37.12,133230002176.0,120066998272.0,7.25,268.22,47.47,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.27,3,0,6,BAJA
BA,The Boeing Company,Industrials,Aerospace & Defense,CORE,170791452672.0,1.128,2.90084,BALANCEADO,1,217.34,56.12,221.94,218.83,True,True,True,87.64,-3238000128.0,1888999936.0,1032.89,269.0,23.77,3,2,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.0,7,0,6,BAJA
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,338410766336.0,0.403,0.31562,DEFENSIVO,-1,144.59,42.07,153.09,151.77,True,True,True,21.42,24764999680.0,16161999872.0,68.72,166.77,15.34,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.8,5,0,6,BAJA
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,CORE,331333730304.0,0.361,0.43323,DEFENSIVO,-1,76.98,52.62,77.34,71.41,True,True,True,25.32,16078000128.0,13107000320.0,139.79,83.67,8.69,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.8,5,0,6,BAJA
ORCL,Oracle Corporation,Technology,Software - Infrastructure,CORE,413172793344.0,1.597,0.57572,AGRESIVO,1,143.66,43.09,152.07,217.25,True,True,False,25.79,27441000448.0,16188000256.0,415.26,246.46,71.56,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.27,3,0,6,BAJA
