Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,85856985088.0,1.005,0.15488,BALANCEADO,1,81.37,21.57,107.74,158.0,False,True,False,48.72,2737999872.0,1748000000.0,18.54,183.99,126.12,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.73,2,9,0,MEDIA
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,63063572480.0,1.319,0.16016,AGRESIVO,1,42.59,22.74,56.8,66.06,False,True,False,28.02,3864000000.0,2249999872.0,79.33,64.09,50.49,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.67,3,9,0,MEDIA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,5021299712.0,1.025,0.14374,BALANCEADO,1,9.39,29.64,11.42,13.27,False,True,False,18.06,75536000.0,282329984.0,3.9,13.8,47.02,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.73,2,7,2,MEDIA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2752655392768.0,1.107,0.34390998,BALANCEADO,1,370.36,37.96,393.87,474.17,True,True,False,23.19,175258992640.0,119262003200.0,31.54,587.31,58.58,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.73,2,8,0,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3816610594816.0,1.109,1.5202099,BALANCEADO,1,259.67,54.45,260.86,250.63,True,True,True,32.91,152901992448.0,117776998400.0,102.63,296.12,14.04,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.73,2,8,0,MEDIA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,176044130304.0,1.441,0.12024,AGRESIVO,1,99.27,51.07,102.08,111.02,True,True,False,14.62,19306000384.0,12252000256.0,40.91,128.39,29.33,2,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.75,1,8,0,MEDIA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,14869891072.0,0.994,-0.13465999,BALANCEADO,1,56.38,25.12,79.32,144.43,False,True,False,,-22988000.0,-189224992.0,76.38,167.15,196.47,4,2,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.73,2,7,0,BAJA
IBM,International Business Machines Corporation,Technology,Information Technology Services,CORE,216969576448.0,0.685,0.35158002,DEFENSIVO,0,231.22,35.68,256.35,276.43,True,True,False,20.74,16117999616.0,10570999808.0,197.33,310.76,34.4,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.73,2,7,0,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,89624510464.0,1.492,0.35985002,AGRESIVO,1,1767.84,53.13,1828.12,2141.14,True,True,False,44.81,4019000064.0,1996999936.0,169.24,2505.65,41.74,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.67,3,7,0,BAJA
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,1582097891328.0,1.309,0.30238,AGRESIVO,1,625.45,56.2,633.52,682.69,True,True,False,26.61,101891997696.0,60458000384.0,39.16,860.25,37.54,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.75,1,7,0,BAJA
