Ticker,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,Dow Jones,64566673408.0,1.319,0.16016,AGRESIVO,1,43.6,27.76,56.04,65.87,False,True,False,28.68,4.58,3864000000.0,2249999872.0,79.33,2.89,63.64,45.96,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.33,1,9,0,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,Dow Jones,3793534582784.0,1.109,1.5202099,BALANCEADO,1,258.14,51.98,260.87,251.21,True,True,True,32.63,43.03,152901992448.0,117776998400.0,102.63,0.59,296.33,14.79,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.91,5,8,0,MEDIA
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,CORE,Dow Jones,989295411200.0,0.661,0.21847,DEFENSIVO,0,124.09,48.75,125.64,110.29,True,True,True,45.45,9.93,44027998208.0,21892999168.0,64.44,1.55,136.44,9.95,3,4,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.2,2,7,0,BAJA
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,S&P 500,94308679680.0,1.005,0.15488,BALANCEADO,1,89.38,33.32,106.67,156.88,False,True,False,53.52,7.22,2737999872.0,1748000000.0,18.54,0.88,182.29,103.95,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.91,5,7,0,BAJA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,Dow Jones,2912979255296.0,1.107,0.34390998,BALANCEADO,1,391.95,57.0,392.13,473.11,True,True,False,24.51,7.45,175258992640.0,119262003200.0,31.54,0.7,585.41,49.36,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.91,5,7,0,BAJA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,S&P 500,5323432960.0,1.025,0.14374,BALANCEADO,1,9.95,38.56,11.3,13.25,False,True,False,19.14,2.57,75536000.0,282329984.0,3.9,1.08,13.8,38.74,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.91,5,7,0,BAJA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,S&P 500,4004228366336.0,1.128,0.35705003,BALANCEADO,1,331.0,68.74,307.87,270.09,True,False,True,30.65,9.64,150175006720.0,132169998336.0,16.13,0.45,375.93,13.57,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.0,3,7,0,BAJA
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,CORE,S&P 500,430491172864.0,0.978,0.29650998,BALANCEADO,1,969.86,40.45,993.85,949.08,False,True,True,50.46,26.02,13459999744.0,8549000192.0,60.26,0.76,1067.94,10.11,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.2,2,8,-1,BAJA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,S&P 500,16116081664.0,0.994,-0.13465999,BALANCEADO,1,61.1,34.65,77.02,143.06,True,True,False,,10.2,-22988000.0,-189224992.0,76.38,,165.22,170.4,3,2,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.91,5,5,1,BAJA
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,Dow Jones,337778868224.0,0.403,0.31562,DEFENSIVO,-1,144.32,43.15,152.74,151.48,True,True,True,21.38,6.42,24764999680.0,16161999872.0,68.72,1.48,164.95,14.3,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.2,2,6,0,BAJA
