Ticker,TieneCedear,TickerCedearARS,TickerCedearCCL,CedearsPorAccionUSA,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
GFI,False,,,,Gold Fields Limited,Basic Materials,Gold,CORE,S&P 500,41196920832.0,0.82,0.51931,BALANCEADO,1,46.15,46.42,49.45,41.64,True,True,True,11.69,9.77,5170800128.0,3567399936.0,37.14,0.62,59.03,27.91,3,5,9,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.2,1,9.0,0.0,MEDIA
NOC,False,,,,Northrop Grumman Corporation,Industrials,Aerospace & Defense,CORE,S&P 500,96487383040.0,0.046,0.26167,DEFENSIVO,-1,614.01,23.64,705.43,617.94,False,True,True,23.34,5.79,6819999744.0,4182000128.0,107.26,2.62,736.1,19.88,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.93,2,8.0,0.0,MEDIA
HSY,False,,,,The Hershey Company,Consumer Defensive,Confectioners,CORE,S&P 500,38559928320.0,0.175,0.1889,DEFENSIVO,-1,190.24,29.46,215.7,192.32,False,True,True,43.73,8.32,1975124992.0,883259008.0,123.76,2.91,227.78,19.73,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.07,7,0.0,8.0,MEDIA
JNJ,True,JNJ.BA,JNJC.BA,15.0,Johnson & Johnson,Healthcare,Drug Manufacturers - General,CORE,Dow Jones,573483646976.0,0.329,,DEFENSIVO,-1,225.52,27.85,240.89,203.46,False,True,True,21.59,7.03,34104750080.0,21040001024.0,60.5,1.45,241.92,7.27,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.78,3,8.0,0.0,MEDIA
ABT,False,,,,Abbott Laboratories,Healthcare,Medical Devices,CORE,S&P 500,177556439040.0,0.782,0.12961,DEFENSIVO,0,93.08,24.99,107.37,122.19,False,True,False,27.47,3.4,12033000448.0,6499999744.0,26.79,1.17,131.44,41.21,4,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.78,3,8.0,0.0,MEDIA
MDT,False,,,,Medtronic plc,Healthcare,Medical Devices,CORE,S&P 500,106523934720.0,0.764,0.0939,DEFENSIVO,0,82.53,29.75,91.14,94.45,False,True,False,23.18,2.17,9440000000.0,4613000192.0,57.06,2.97,109.08,32.17,4,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.78,3,6.0,2.0,MEDIA
TM,False,,,,Toyota Motor Corporation,Consumer Cyclical,Auto Manufacturers,CORE,S&P 500,266663067648.0,0.357,0.10032,DEFENSIVO,-1,204.6,39.8,221.57,206.3,True,True,True,11.42,17.43,6204942188544.0,3695587885056.0,105.34,6.79,257.24,25.73,4,5,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.37,6,0.0,8.0,MEDIA
HL,False,,,,Hecla Mining Company,Basic Materials,Other Precious Metals & Mining,CORE,S&P 500,12224415744.0,1.394,0.13893,AGRESIVO,1,18.38,41.94,20.51,15.58,True,True,True,37.2,4.72,696435008.0,321160000.0,11.0,0.41,26.0,41.46,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.2,1,8.0,0.0,MEDIA
HMY,False,,,,Harmony Gold Mining Company Limited,Basic Materials,Gold,CORE,S&P 500,11049240576.0,0.796,0.33491,DEFENSIVO,0,17.53,54.24,17.89,17.8,True,True,True,11.08,3.45,30802999296.0,16275999744.0,25.47,0.43,23.73,35.38,3,5,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.2,1,8.0,0.0,MEDIA
SYK,False,,,,Stryker Corporation,Healthcare,Medical Devices,CORE,S&P 500,131363602432.0,0.926,0.15079,BALANCEADO,1,329.09,38.62,352.38,367.44,True,True,False,40.83,5.85,6949000192.0,3246000128.0,72.97,2.35,420.62,27.81,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.78,3,8.0,0.0,MEDIA
KGC,False,,,,Kinross Gold Corporation,Basic Materials,Gold,CORE,S&P 500,39073280000.0,1.404,0.31476,AGRESIVO,1,32.45,50.28,32.51,26.54,True,True,True,16.67,4.55,4204300032.0,2390099968.0,8.72,0.18,40.48,24.74,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.2,1,8.0,0.0,MEDIA
GE,False,,,,GE Aerospace,Industrials,Aerospace & Defense,CORE,S&P 500,331591286784.0,1.428,0.44692,AGRESIVO,1,284.74,40.86,311.49,297.06,True,True,True,39.05,17.65,10702999552.0,8600999936.0,114.07,2.01,352.75,23.88,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.93,2,8.0,0.0,MEDIA
EW,False,,,,Edwards Lifesciences Corporation,Healthcare,Medical Devices,CORE,S&P 500,45511487488.0,0.945,0.10353,BALANCEADO,1,79.48,45.39,81.37,80.85,True,True,True,43.29,4.4,1794499968.0,1060099968.0,6.82,0.39,96.78,21.76,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.78,3,8.0,0.0,MEDIA
DD,False,,,,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,CORE,S&P 500,19159748608.0,1.122,0.0051700003,BALANCEADO,1,46.73,51.96,47.19,38.89,True,True,True,222.6,1.37,1512000000.0,57000000.0,24.48,2.28,55.87,19.55,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.2,1,8.0,0.0,MEDIA
PHG,False,,,,Koninklijke Philips N.V.,Healthcare,Medical Devices,CORE,S&P 500,27268501504.0,0.964,0.078150004,BALANCEADO,1,28.48,50.77,29.13,27.93,True,True,True,26.1,2.1,2016000000.0,899000000.0,73.57,4.01,33.74,18.47,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.78,3,8.0,0.0,MEDIA
ECL,False,,,,Ecolab Inc.,Basic Materials,Specialty Chemicals,CORE,S&P 500,76534013952.0,1.024,0.22516,BALANCEADO,1,270.38,47.59,281.2,273.08,True,True,True,37.22,7.82,3928000000.0,2075600000.0,91.77,2.29,318.57,17.82,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.2,1,8.0,0.0,MEDIA
HWM,False,,,,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,CORE,S&P 500,98881847296.0,1.235,0.30443,AGRESIVO,1,245.93,50.25,246.08,207.81,True,True,True,66.48,18.5,2388000000.0,1506000000.0,60.02,1.35,278.66,13.31,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.93,2,7.0,1.0,MEDIA
