Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,63478812672.0,1.319,0.16016,AGRESIVO,1,42.87,19.25,57.57,66.24,False,True,False,28.2,3864000000.0,2249999872.0,79.33,64.09,49.51,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.67,2,0,9,MEDIA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2761975660544.0,1.107,0.34390998,BALANCEADO,1,371.72,38.36,398.2,475.32,True,True,False,23.27,175258992640.0,119262003200.0,31.54,587.31,58.0,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.27,3,0,8,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3783245955072.0,1.109,1.5202099,BALANCEADO,1,257.38,52.05,260.72,250.03,True,True,True,32.54,152901992448.0,117776998400.0,102.63,295.32,14.74,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.27,3,0,8,MEDIA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,175086501888.0,1.441,0.12024,AGRESIVO,1,98.73,49.6,102.49,111.2,True,True,False,14.54,19306000384.0,12252000256.0,40.91,128.73,30.39,2,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.75,1,0,8,MEDIA
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,CORE,1281155399680.0,1.915,0.049250003,ESPECULATIVO,0,341.38,33.18,397.62,397.32,False,True,True,319.08,10503000064.0,3793999872.0,17.76,416.15,21.9,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.67,2,0,7,BAJA
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,102756155392.0,1.005,0.15488,BALANCEADO,1,97.39,33.39,109.55,159.12,False,True,False,58.31,2737999872.0,1748000000.0,18.54,184.36,89.3,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.27,3,0,7,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,89584967680.0,1.492,0.35985002,AGRESIVO,1,1767.06,53.75,1848.0,2148.2,True,True,False,44.87,4019000064.0,1996999936.0,169.24,2528.73,43.1,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.67,2,0,7,BAJA
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,1545153675264.0,1.309,0.30238,AGRESIVO,1,610.84,52.82,635.25,683.47,True,True,False,26.04,101891997696.0,60458000384.0,39.16,860.25,40.83,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.75,1,0,7,BAJA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,5553375744.0,1.025,0.14374,BALANCEADO,1,10.39,37.46,11.6,13.3,False,True,False,19.97,75536000.0,282329984.0,3.9,13.8,32.87,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.27,3,0,7,BAJA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3838377984000.0,1.128,0.35705003,BALANCEADO,1,317.31,61.99,309.04,267.03,True,False,True,29.35,150175006720.0,132169998336.0,16.13,376.29,18.59,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.75,1,0,7,BAJA
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,GROWTH,554634313728.0,1.382,0.50458,AGRESIVO,1,1412.51,56.02,1391.44,1060.83,True,False,True,49.6,12266399744.0,9609400320.0,23.92,1488.99,5.41,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.27,3,0,7,BAJA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,16874346496.0,0.994,-0.13465999,BALANCEADO,1,63.98,32.26,82.4,145.82,True,True,False,,-22988000.0,-189224992.0,76.38,167.63,162.01,3,2,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.27,3,0,6,BAJA
OKLO,Oklo Inc.,Utilities,Utilities - Independent Power Producers,GROWTH,8586395648.0,0.943,-0.12236,BALANCEADO,1,49.47,39.72,62.8,85.57,True,True,False,,-138772000.0,-105663000.0,0.1,91.03,84.01,3,2,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,4,0,6,BAJA
NVDA,NVIDIA Corporation,Technology,Semiconductors,CORE,4415489572864.0,2.335,1.01485,ESPECULATIVO,-1,181.67,54.16,182.22,180.34,True,True,True,37.08,133230002176.0,120066998272.0,7.25,268.22,47.64,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.27,3,0,6,BAJA
BA,The Boeing Company,Industrials,Aerospace & Defense,CORE,170551754752.0,1.128,2.90084,BALANCEADO,1,217.03,55.91,221.93,218.83,True,True,True,87.51,-3238000128.0,1888999936.0,1032.89,269.0,23.95,3,2,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.0,7,0,6,BAJA
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,338662359040.0,0.403,0.31562,DEFENSIVO,-1,144.7,42.38,153.09,151.77,True,True,True,21.44,24764999680.0,16161999872.0,68.72,166.77,15.25,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.8,5,0,6,BAJA
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,CORE,331527389184.0,0.361,0.43323,DEFENSIVO,-1,77.03,52.86,77.34,71.41,True,True,True,25.34,16078000128.0,13107000320.0,139.79,83.67,8.62,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.8,5,0,6,BAJA
