Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,337374478336.0,1.085,1.45541,BALANCEADO,1,338.72,49.94,356.53,372.91,True,True,False,23.79,26.33,25010999296.0,14156000256.0,514.39,2.64,408.21,20.52,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.5,2,6,0,BAJA
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,CORE,399858270208.0,1.963,0.07082,ESPECULATIVO,0,245.25,70.22,209.21,199.92,True,False,True,93.61,6.35,6744999936.0,4268999936.0,6.36,0.59,289.35,17.98,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.73,5,6,0,BAJA
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,CORE,1326184529920.0,1.915,0.049250003,ESPECULATIVO,0,353.42,39.81,393.04,397.48,False,True,False,327.24,16.14,10503000064.0,3793999872.0,17.76,1.4,415.3,17.51,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.5,2,6,0,BAJA
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,GROWTH,583588970496.0,1.382,0.50458,AGRESIVO,1,1486.25,62.02,1393.22,1070.9,True,False,True,51.55,25.24,12266399744.0,9609400320.0,23.92,0.38,1503.08,1.13,2,3,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.73,5,6,0,BAJA
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,CORE,2564888985600.0,1.383,0.22286,AGRESIVO,1,238.5,71.52,213.34,224.99,True,False,False,33.22,6.23,145730994176.0,77669998592.0,43.44,1.23,281.18,17.9,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,6.5,2,6,0,BAJA
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,CORE,215892574208.0,0.532,,DEFENSIVO,-1,303.72,37.03,320.85,309.19,False,True,True,25.42,-120.57,14593999872.0,8562999808.0,,3.76,344.79,13.52,3,3,5,PULLBACK,SEGUIMIENTO,BAJA,4,6.5,2,6,-1,BAJA
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,CORE,213331640320.0,0.41,0.42848,DEFENSIVO,-1,156.07,49.35,160.32,148.43,True,True,True,26.01,10.45,18173999104.0,8240000000.0,258.08,2.92,170.06,8.96,3,3,5,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.4,3,5,0,BAJA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,16036959232.0,0.994,-0.13465999,BALANCEADO,1,60.81,33.9,78.15,143.74,False,True,False,,10.15,-22988000.0,-189224992.0,76.38,,165.22,171.69,2,2,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.73,5,7,-2,BAJA
OKLO,Oklo Inc.,Utilities,Utilities - Independent Power Producers,GROWTH,9227784192.0,0.943,-0.12236,BALANCEADO,1,53.17,47.79,60.52,85.47,True,True,False,,5.78,-138772000.0,-105663000.0,0.1,,90.41,70.03,2,2,5,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,4,5,0,BAJA
NVDA,NVIDIA Corporation,Technology,Semiconductors,CORE,4571770912768.0,2.335,1.01485,ESPECULATIVO,-1,188.1,60.55,181.99,180.91,True,False,True,38.39,29.06,133230002176.0,120066998272.0,7.25,0.09,268.22,42.6,2,4,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.73,5,5,0,BAJA
BA,The Boeing Company,Industrials,Aerospace & Defense,CORE,174017331200.0,1.128,2.90084,BALANCEADO,1,221.44,58.57,220.73,219.12,True,False,True,89.29,31.89,-3238000128.0,1888999936.0,1032.89,,266.76,20.47,2,2,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,4.33,8,6,-1,BAJA
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,CORE,380074393600.0,0.587,0.07231,DEFENSIVO,-1,190.81,42.91,191.22,163.87,False,True,True,28.74,2.03,37631000576.0,12298999808.0,24.32,1.24,207.96,8.99,2,4,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.0,6,6,-1,BAJA
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,CORE,632669929472.0,0.288,0.110810004,DEFENSIVO,-1,152.21,41.26,154.19,125.16,False,True,True,22.72,2.45,59385999360.0,28843999232.0,18.94,0.85,162.71,6.9,2,4,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.0,6,5,0,BAJA
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,CORE,369076764672.0,1.519,0.43526,AGRESIVO,1,788.66,66.49,725.77,561.64,True,False,True,41.91,17.21,13960999936.0,8883999744.0,206.67,3.16,746.06,-5.4,2,2,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,4.33,8,5,0,BAJA
ORCL,Oracle Corporation,Technology,Software - Infrastructure,CORE,440495243264.0,1.597,0.57572,AGRESIVO,1,153.16,54.96,150.32,216.23,True,False,False,27.5,13.13,27441000448.0,16188000256.0,415.26,5.91,246.46,60.92,1,3,5,SIN SETUP,SEGUIMIENTO,BAJA,4,5.73,5,6,-1,BAJA
IBM,International Business Machines Corporation,Technology,Information Technology Services,CORE,221816455168.0,0.685,0.35158002,DEFENSIVO,0,236.38,41.58,254.88,276.15,False,True,False,21.2,6.78,16117999616.0,10570999808.0,197.33,4.01,307.48,30.08,1,4,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.73,5,7,-2,BAJA
NFLX,"Netflix, Inc.",Communication Services,Entertainment,CORE,439038115840.0,1.669,0.42762002,AGRESIVO,0,103.5,73.43,90.11,106.42,True,False,False,40.91,16.42,13659992064.0,10981200896.0,63.78,1.24,114.03,10.18,1,4,5,SIN SETUP,SEGUIMIENTO,BAJA,4,6.75,1,5,0,BAJA
HOOD,"Robinhood Markets, Inc.",Financial Services,Capital Markets,GROWTH,63372709888.0,2.464,0.21993999,ESPECULATIVO,-1,70.38,45.25,75.77,107.39,True,True,False,34.34,6.94,,1883000064.0,136.04,,103.77,47.44,2,3,4,PULLBACK,EVITAR,NULA,0,5.0,7,4,0,IGNORAR
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,CORE,568808439808.0,0.329,0.35029998,DEFENSIVO,-1,236.03,41.8,240.84,201.05,False,True,True,21.38,6.97,33835999232.0,26804000768.0,60.5,1.46,241.92,2.49,2,3,4,PULLBACK,EVITAR,NULA,0,3.67,9,4,0,IGNORAR
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,CORE,282595786752.0,0.408,0.12538,DEFENSIVO,-1,311.34,67.14,283.56,312.52,True,False,False,23.52,3.0,21624999936.0,12056000512.0,81.62,3.84,360.96,15.94,1,4,4,SIN SETUP,EVITAR,NULA,0,3.67,9,4,0,IGNORAR
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,CORE,837738692608.0,1.043,0.16134001,BALANCEADO,1,310.61,66.28,299.49,303.25,True,False,False,15.52,2.45,,55680999424.0,,,333.78,7.46,1,2,4,SIN SETUP,EVITAR,NULA,0,5.0,7,4,0,IGNORAR
DIA,State Street SPDR Dow Jones Industrial Average ETF Trust,,,ETF,38932406272.0,,,SIN DATO,0,479.21,57.77,479.92,468.83,True,True,True,23.49,1.34,,,,,,,3,0,3,PULLBACK EN TENDENCIA,EVITAR,NULA,0,1.7,10,3,0,IGNORAR
TEM,"Tempus AI, Inc.",Healthcare,Health Information Services,GROWTH,8324375040.0,,-0.89481,SIN DATO,0,46.4,45.61,51.24,67.62,True,True,False,,16.82,-171512992.0,-245028000.0,270.11,,72.73,56.75,2,1,3,PULLBACK,EVITAR,NULA,0,3.67,9,4,-1,IGNORAR
RKLB,Rocket Lab Corporation,Industrials,Aerospace & Defense,GROWTH,40867962880.0,2.205,-0.18837999,ESPECULATIVO,-1,70.98,53.29,70.01,59.1,True,False,True,,22.41,-185512992.0,-198208992.0,15.39,,86.68,22.12,2,2,3,TENDENCIA FIRME,EVITAR,NULA,0,4.33,8,4,-1,IGNORAR
AI,"C3.ai, Inc.",Technology,Software - Infrastructure,GROWTH,1223352064.0,2.07,-0.55012,ESPECULATIVO,-1,8.42,43.29,9.4,15.77,True,True,False,,1.69,-453099008.0,-434502016.0,8.37,,8.82,4.73,2,1,2,PULLBACK,EVITAR,NULA,0,5.73,5,3,-1,IGNORAR
SPY,State Street SPDR S&P 500 ETF Trust,,,ETF,625881448448.0,,,SIN DATO,0,681.94,61.29,674.05,664.74,True,False,True,27.04,1.59,,,,,,,2,0,2,TENDENCIA FIRME,EVITAR,NULA,0,1.7,10,2,0,IGNORAR
QQQ,Invesco QQQ Trust,,,ETF,241335877632.0,,,SIN DATO,0,613.93,61.88,600.33,597.06,True,False,True,32.43,1.72,,,,,,,2,0,2,TENDENCIA FIRME,EVITAR,NULA,0,1.7,10,2,0,IGNORAR
IWM,iShares Russell 2000 ETF,,,ETF,74115686400.0,,,SIN DATO,0,263.7,63.02,256.39,244.27,True,False,True,19.09,1.21,,,,,,,2,0,2,TENDENCIA FIRME,EVITAR,NULA,0,1.7,10,2,0,IGNORAR
EEM,iShares MSCI Emerging Markets ETF,,,ETF,45776015360.0,,,SIN DATO,0,60.84,61.52,59.07,54.49,True,False,True,16.92,1.16,,,,,,,2,0,2,TENDENCIA FIRME,EVITAR,NULA,0,1.7,10,2,0,IGNORAR
IVV,iShares Core S&P 500 ETF,,,ETF,425774219264.0,,,SIN DATO,0,685.02,61.56,676.98,667.78,True,False,True,27.04,1.59,,,,,,,2,0,2,TENDENCIA FIRME,EVITAR,NULA,0,1.7,10,2,0,IGNORAR
XLF,State Street Financial Select Sector SPDR ETF,,,ETF,45254467584.0,,,SIN DATO,0,51.22,59.09,50.96,52.7,True,False,False,17.28,1.51,,,,,,,1,0,1,SIN SETUP,EVITAR,NULA,0,1.7,10,2,-1,IGNORAR
XLE,State Street Energy Select Sector SPDR ETF,,,ETF,10623371264.0,,,SIN DATO,0,56.99,43.01,56.65,47.6,False,False,True,21.97,1.09,,,,,,,1,0,1,SIN SETUP,EVITAR,NULA,0,1.7,10,1,0,IGNORAR
XLK,State Street Technology Select Sector SPDR ETF,,,ETF,39294406656.0,,,SIN DATO,0,144.43,63.32,138.89,139.04,True,False,False,34.33,0.97,,,,,,,1,0,1,SIN SETUP,EVITAR,NULA,0,1.7,10,1,0,IGNORAR
ARKK,ARK Innovation ETF,,,ETF,,,,SIN DATO,0,71.54,54.28,70.91,77.43,True,False,False,47.1,,,,,,,,1,0,1,SIN SETUP,EVITAR,NULA,0,1.7,10,2,-1,IGNORAR
