Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,63396777984.0,1.319,0.16016,AGRESIVO,1,42.81,23.75,56.41,65.97,False,True,False,28.16,4.5,3864000000.0,2249999872.0,79.33,2.89,63.64,48.66,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.5,2,9,0,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3785965174784.0,1.109,1.5202099,BALANCEADO,1,257.58,51.33,260.86,250.91,True,True,True,32.65,42.95,152901992448.0,117776998400.0,102.63,0.59,296.33,15.04,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.73,5,8,0,MEDIA
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,CORE,437455486976.0,0.978,0.29650998,BALANCEADO,1,985.55,45.4,993.35,949.16,True,True,True,51.14,26.44,13459999744.0,8549000192.0,60.26,0.76,1067.94,8.36,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.4,3,7,1,MEDIA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,179183026176.0,1.441,0.12024,AGRESIVO,1,101.04,56.48,101.87,110.93,True,True,False,14.88,1.65,19306000384.0,12252000256.0,40.91,2.42,128.39,27.07,2,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.75,1,8,0,MEDIA
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,CORE,994539732992.0,0.661,0.21847,DEFENSIVO,0,124.75,50.12,125.55,110.15,True,True,True,45.7,9.98,44027998208.0,21892999168.0,64.44,1.55,136.44,9.37,3,4,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.4,3,6,1,BAJA
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,93369597952.0,1.005,0.15488,BALANCEADO,1,88.51,31.99,107.21,157.45,False,True,False,52.99,7.15,2737999872.0,1748000000.0,18.54,0.88,182.29,105.95,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.73,5,9,-2,BAJA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2833817010176.0,1.107,0.34390998,BALANCEADO,1,381.27,48.97,392.84,473.62,True,True,False,23.86,7.25,175258992640.0,119262003200.0,31.54,0.7,585.41,53.54,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.73,5,8,-1,BAJA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,5354716160.0,1.025,0.14374,BALANCEADO,1,10.01,38.63,11.35,13.26,False,True,False,19.26,2.58,75536000.0,282329984.0,3.9,1.08,13.8,37.91,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.73,5,9,-2,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,91913994240.0,1.492,0.35985002,AGRESIVO,1,1813.0,58.08,1820.14,2137.54,True,True,False,46.04,13.62,4019000064.0,1996999936.0,169.24,2.84,2490.27,37.36,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.5,2,7,0,BAJA
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,1593948766208.0,1.309,0.30238,AGRESIVO,1,630.13,57.56,631.44,682.32,True,True,False,26.83,7.34,101891997696.0,60458000384.0,39.16,0.84,855.68,35.79,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.75,1,7,0,BAJA
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,GROWTH,105431367680.0,1.188,0.16364,BALANCEADO,1,291.01,49.04,294.73,328.3,True,True,False,39.38,6.26,5632000000.0,2319000064.0,63.94,1.69,373.3,28.28,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,4,6,1,BAJA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3863540137984.0,1.128,0.35705003,BALANCEADO,1,319.38,62.74,307.97,269.29,True,False,True,29.52,9.3,150175006720.0,132169998336.0,16.13,0.45,375.93,17.71,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.75,1,7,0,BAJA
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,335204319232.0,0.403,0.31562,DEFENSIVO,-1,143.23,40.29,152.88,151.55,True,True,True,21.22,6.37,24764999680.0,16161999872.0,68.72,1.48,164.95,15.17,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.4,3,6,0,BAJA
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,CORE,326749782016.0,0.361,0.43323,DEFENSIVO,-1,75.92,46.02,77.58,71.52,True,True,True,24.97,10.15,16078000128.0,13107000320.0,139.79,2.98,83.67,10.21,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.4,3,5,1,BAJA
MA,Mastercard Incorporated,Financial Services,Credit Services,CORE,449797521408.0,0.831,2.09915,BALANCEADO,1,504.01,50.11,514.14,551.57,True,True,False,30.53,58.24,20544000000.0,14968000512.0,256.04,0.97,657.11,30.38,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.0,7,6,0,BAJA
V,Visa Inc.,Financial Services,Credit Services,CORE,592351592448.0,0.799,0.53954,DEFENSIVO,0,307.23,50.18,313.21,335.27,True,True,False,28.85,15.34,28987000832.0,20592001024.0,54.61,0.73,394.86,28.52,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.0,7,6,0,BAJA
