Ticker,TieneCedear,TickerCedearARS,TickerCedearCCL,CedearsPorAccionUSA,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NOC,False,,,,Northrop Grumman Corporation,Industrials,Aerospace & Defense,CORE,S&P 500,96487383040.0,0.046,0.26167,DEFENSIVO,-1,617.57,24.25,705.5,617.96,False,True,True,23.34,5.79,6819999744.0,4182000128.0,107.26,2.62,736.1,19.19,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.11,2,8.0,0.0,MEDIA
JNJ,True,JNJ.BA,JNJC.BA,15.0,Johnson & Johnson,Healthcare,Drug Manufacturers - General,CORE,Dow Jones,573483646976.0,0.329,,DEFENSIVO,-1,224.93,27.3,240.87,203.45,False,True,True,21.59,7.03,34104750080.0,21040001024.0,60.5,1.45,241.92,7.55,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.71,3,8.0,0.0,MEDIA
ABT,False,,,,Abbott Laboratories,Healthcare,Medical Devices,CORE,S&P 500,177556439040.0,0.782,0.12961,DEFENSIVO,0,93.36,25.34,107.38,122.19,False,True,False,27.47,3.4,12033000448.0,6499999744.0,26.79,1.17,131.44,40.79,4,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.71,3,8.0,0.0,MEDIA
GE,False,,,,GE Aerospace,Industrials,Aerospace & Defense,CORE,S&P 500,331591286784.0,1.428,0.44692,AGRESIVO,1,285.74,41.26,311.51,297.06,True,True,True,39.05,17.65,10702999552.0,8600999936.0,114.07,2.01,352.75,23.45,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.11,2,8.0,0.0,MEDIA
EW,False,,,,Edwards Lifesciences Corporation,Healthcare,Medical Devices,CORE,S&P 500,45511487488.0,0.945,0.10353,BALANCEADO,1,80.43,48.82,81.39,80.85,True,True,True,43.29,4.4,1794499968.0,1060099968.0,6.82,0.39,96.78,20.33,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.71,3,8.0,0.0,MEDIA
DD,False,,,,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,CORE,S&P 500,19159748608.0,1.122,0.0051700003,BALANCEADO,1,46.75,52.05,47.19,38.89,True,True,True,222.6,1.37,1512000000.0,57000000.0,24.48,2.28,55.87,19.5,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.33,1,0.0,8.0,MEDIA
ECL,False,,,,Ecolab Inc.,Basic Materials,Specialty Chemicals,CORE,S&P 500,76534013952.0,1.024,0.22516,BALANCEADO,1,270.99,48.23,281.21,273.09,True,True,True,37.22,7.82,3928000000.0,2075600000.0,91.77,2.29,318.57,17.56,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.33,1,0.0,8.0,MEDIA
CMCSA,False,,,,Comcast Corporation,Communication Services,Telecom Services,CORE,S&P 500,103413727232.0,0.79,0.2141,DEFENSIVO,0,29.62,57.63,29.98,29.21,True,True,True,5.27,1.06,36879998976.0,19997999104.0,107.86,2.85,32.68,10.34,3,5,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.4,6,8.0,0.0,MEDIA
DAL,False,,,,"Delta Air Lines, Inc.",Industrials,Airlines,CORE,S&P 500,46469193728.0,1.306,0.2499,AGRESIVO,1,70.73,58.03,66.65,62.87,True,False,True,10.33,2.27,7775000064.0,4476000256.0,105.02,2.75,79.61,12.56,2,5,8,TENDENCIA FIRME,COMPRA POTENCIAL,MEDIA,8,6.11,2,0.0,8.0,MEDIA
BSX,False,,,,Boston Scientific Corporation,Healthcare,Medical Devices,CORE,S&P 500,96029204480.0,0.782,0.12445,DEFENSIVO,0,60.19,32.28,69.29,91.72,True,True,False,33.31,3.95,5338999808.0,2897999872.0,48.92,2.24,98.72,64.01,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.71,3,7.0,0.0,BAJA
T,True,T.BA,TC.BA,3.0,AT&T Inc.,Communication Services,Telecom Services,CORE,S&P 500,178759729152.0,0.539,0.18805,DEFENSIVO,-1,26.18,38.59,27.82,26.79,False,True,True,8.4,1.63,44243001344.0,21888999424.0,124.18,3.61,30.39,16.09,3,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.4,6,7.0,0.0,BAJA
HON,False,,,,Honeywell International Inc.,Industrials,Conglomerates,CORE,Dow Jones,140449202176.0,0.915,0.26136,BALANCEADO,1,221.65,39.01,234.54,211.89,False,True,True,31.94,10.13,8467999744.0,4424999936.0,236.61,4.2,251.5,13.47,3,3,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.11,2,0.0,7.0,BAJA
DE,False,,,,Deere & Company,Industrials,Farm & Heavy Construction Machinery,CORE,S&P 500,154829553664.0,0.992,0.19566,BALANCEADO,1,591.22,52.01,595.55,513.59,True,True,True,32.39,5.89,8588000256.0,4814000128.0,376.02,5.64,665.1,12.5,3,3,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.11,2,7.0,0.0,BAJA
VZ,False,,,,Verizon Communications Inc.,Communication Services,Telecom Services,CORE,Dow Jones,190858641408.0,0.27,0.17069,DEFENSIVO,-1,46.58,39.66,49.15,43.62,False,True,True,11.15,1.83,49997000704.0,17173999616.0,174.78,3.7,51.58,10.74,3,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.4,6,7.0,0.0,BAJA
NOW,False,,,,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,S&P 500,99118964736.0,1.005,0.15488,BALANCEADO,1,101.53,50.7,105.57,154.2,True,True,False,56.74,7.65,2737999872.0,1748000000.0,18.54,0.88,182.29,79.54,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,4,7.0,0.0,BAJA
INTU,False,,,,Intuit Inc.,Technology,Software - Application,CORE,S&P 500,108999958528.0,1.213,0.23457001,AGRESIVO,1,411.08,50.6,415.39,603.45,True,True,False,25.48,5.7,6106999808.0,4339999744.0,36.15,1.13,603.49,46.81,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,4,7.0,0.0,BAJA
NKE,True,NKE.BA,NKEC.BA,12.0,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,Dow Jones,67891269632.0,1.319,0.16016,AGRESIVO,1,46.62,41.37,54.38,65.18,True,True,False,30.16,4.82,3864000000.0,2249999872.0,79.33,2.89,63.64,36.51,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.44,5,7.0,0.0,BAJA
DHR,False,,,,Danaher Corporation,Healthcare,Diagnostics & Research,CORE,S&P 500,140718948352.0,0.986,0.07053,BALANCEADO,1,192.63,46.99,198.5,209.5,True,True,False,39.61,2.68,7834999808.0,3600000000.0,37.49,2.51,261.36,35.68,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.71,3,7.0,0.0,BAJA
CEG,False,,,,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,GROWTH,S&P 500,106853376000.0,1.188,0.16364,BALANCEADO,1,280.66,42.71,298.26,327.62,True,True,False,39.91,6.35,5632000000.0,2319000064.0,63.94,1.69,373.3,33.01,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.17,8,7.0,0.0,BAJA
FSLR,False,,,,"First Solar, Inc.",Technology,Solar,CORE,S&P 500,20327534592.0,1.607,0.1745,AGRESIVO,0,189.18,41.91,203.72,220.71,True,True,False,13.31,2.13,2126080000.0,1528228992.0,6.87,0.31,249.03,31.64,2,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,4,0.0,7.0,BAJA
ACN,False,,,,Accenture plc,Technology,Information Technology Services,CORE,S&P 500,120262180864.0,1.236,0.24763,AGRESIVO,1,197.25,49.3,203.51,244.83,True,True,False,16.02,3.85,12735312896.0,7648264192.0,25.47,0.66,252.0,27.75,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,4,7.0,0.0,BAJA
PATH,False,,,,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,S&P 500,5677437440.0,1.025,0.14374,BALANCEADO,1,10.85,49.66,11.13,13.19,True,True,False,20.42,2.74,75536000.0,282329984.0,3.9,1.08,13.8,27.24,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,4,7.0,0.0,BAJA
SYK,False,,,,Stryker Corporation,Healthcare,Medical Devices,CORE,S&P 500,131363602432.0,0.926,0.15079,BALANCEADO,1,331.42,40.28,352.43,367.45,True,True,False,40.83,5.85,6949000192.0,3246000128.0,72.97,2.35,420.62,26.91,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.71,3,7.0,0.0,BAJA
PSX,False,,,,Phillips 66,Energy,Oil & Gas Refining & Marketing,CORE,S&P 500,64610328576.0,0.755,0.15427,DEFENSIVO,0,158.47,40.13,166.14,141.51,False,True,True,14.92,2.22,6672000000.0,4393999872.0,71.38,3.24,180.6,13.96,2,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.36,7,7.0,0.0,BAJA
EMR,False,,,,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,CORE,S&P 500,79172132864.0,1.278,0.09646,AGRESIVO,1,145.09,59.5,140.96,137.72,True,False,True,34.51,3.9,5878000128.0,2304999936.0,69.28,2.39,164.17,13.15,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.11,2,7.0,0.0,BAJA
GOOGL,True,GOOGL.BA,GOOGLC.BA,58.0,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,S&P 500,4079834365952.0,1.128,0.35705003,BALANCEADO,1,334.27,64.88,308.22,274.09,True,False,True,31.17,9.82,150175006720.0,132169998336.0,16.13,0.45,375.93,12.46,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.4,6,7.0,0.0,BAJA
AAPL,True,AAPL.BA,AAPLC.BA,20.0,Apple Inc.,Technology,Consumer Electronics,CORE,Dow Jones,3906855501824.0,1.109,1.5202099,BALANCEADO,1,266.67,57.33,260.28,252.71,True,False,True,33.69,44.32,152901992448.0,117776998400.0,102.63,0.59,296.33,11.12,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.5,4,7.0,0.0,BAJA
UPS,False,,,,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,CORE,S&P 500,87822188544.0,1.098,0.33772,BALANCEADO,1,106.07,62.75,105.37,97.19,True,False,True,15.76,5.41,12211999744.0,5571999744.0,175.88,2.34,112.71,6.26,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.11,2,7.0,0.0,BAJA
PM,False,,,,Philip Morris International Inc.,Consumer Defensive,Tobacco,CORE,S&P 500,246840033280.0,0.451,,DEFENSIVO,-1,155.35,36.26,171.0,164.87,True,True,True,21.82,-24.67,18722000896.0,11315999744.0,,2.65,195.17,25.63,4,3,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.1,9,6.0,0.0,BAJA
MCD,False,,,,McDonald's Corporation,Consumer Cyclical,Restaurants,CORE,Dow Jones,217694519296.0,0.532,,DEFENSIVO,-1,302.8,39.5,319.07,309.61,True,True,True,25.63,-121.58,14593999872.0,8562999808.0,,3.76,344.79,13.87,4,3,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.44,5,6.0,0.0,BAJA
LLY,False,,,,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,CORE,S&P 500,808891121664.0,0.504,1.01159,DEFENSIVO,-1,900.23,40.56,968.17,906.66,True,True,True,39.35,30.48,31693000704.0,20640000000.0,165.31,1.38,1209.69,34.38,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.71,3,6.0,0.0,BAJA
