Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,86616686592.0,1.005,0.15488,BALANCEADO,1,82.11,21.94,107.76,158.0,False,True,False,49.16,2737999872.0,1748000000.0,18.54,183.99,124.08,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.55,2,0,9,MEDIA
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,63182045184.0,1.319,0.16016,AGRESIVO,1,42.67,22.85,56.8,66.06,False,True,False,28.07,3864000000.0,2249999872.0,79.33,64.09,50.21,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.5,3,0,9,MEDIA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2754327609344.0,1.107,0.34390998,BALANCEADO,1,370.58,38.12,393.88,474.17,True,True,False,23.21,175258992640.0,119262003200.0,31.54,587.31,58.49,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.55,2,0,8,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3811025354752.0,1.109,1.5202099,BALANCEADO,1,259.29,53.91,260.85,250.63,True,True,True,32.86,152901992448.0,117776998400.0,102.63,296.12,14.2,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.55,2,0,8,MEDIA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,175645114368.0,1.441,0.12024,AGRESIVO,1,99.04,50.32,102.07,111.02,True,True,False,14.59,19306000384.0,12252000256.0,40.91,128.39,29.63,2,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.75,1,0,8,MEDIA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,14970114048.0,0.994,-0.13465999,BALANCEADO,1,56.78,25.43,79.33,144.43,False,True,False,,-22988000.0,-189224992.0,76.38,167.15,194.38,4,2,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.55,2,0,7,BAJA
IBM,International Business Machines Corporation,Technology,Information Technology Services,CORE,217617055744.0,0.685,0.35158002,DEFENSIVO,0,231.9,36.12,256.36,276.43,True,True,False,20.8,16117999616.0,10570999808.0,197.33,310.76,34.01,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.55,2,0,7,BAJA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,5058732032.0,1.025,0.14374,BALANCEADO,1,9.46,30.1,11.42,13.27,False,True,False,18.19,75536000.0,282329984.0,3.9,13.8,45.93,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.55,2,0,7,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,89817669632.0,1.492,0.35985002,AGRESIVO,1,1770.92,53.51,1828.18,2141.16,True,True,False,44.91,4019000064.0,1996999936.0,169.24,2505.65,41.49,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.5,3,0,7,BAJA
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,1587953795072.0,1.309,0.30238,AGRESIVO,1,627.76,56.93,633.57,682.7,True,True,False,26.71,101891997696.0,60458000384.0,39.16,860.25,37.03,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.75,1,0,7,BAJA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3834749124608.0,1.128,0.35705003,BALANCEADO,1,316.97,61.21,308.34,268.55,True,False,True,29.35,150175006720.0,132169998336.0,16.13,376.29,18.71,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.75,1,0,7,BAJA
