Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,CORE,402629951488.0,1.963,0.07082,ESPECULATIVO,0,246.95,70.86,209.25,199.93,True,False,True,94.26,6.39,6744999936.0,4268999936.0,6.36,0.59,289.35,17.17,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.82,5,6,0,BAJA
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,GROWTH,586565287936.0,1.382,0.50458,AGRESIVO,1,1493.83,62.6,1393.37,1070.93,True,False,True,51.82,25.37,12266399744.0,9609400320.0,23.92,0.38,1506.44,0.84,2,3,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.82,5,6,0,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,92505128960.0,1.492,0.35985002,AGRESIVO,1,1824.66,59.19,1820.37,2137.59,True,False,False,46.33,13.71,4019000064.0,1996999936.0,169.24,2.84,2490.27,36.48,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,6.33,3,7,-1,BAJA
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,1598957289472.0,1.309,0.30238,AGRESIVO,1,632.09,58.05,631.48,682.33,True,False,False,26.91,7.36,101891997696.0,60458000384.0,39.16,0.84,855.68,35.37,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,6.5,1,7,-1,BAJA
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,CORE,2566287261696.0,1.383,0.22286,AGRESIVO,1,238.63,71.59,213.34,224.99,True,False,False,33.24,6.23,145730994176.0,77669998592.0,43.44,1.23,281.18,17.83,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,6.33,3,6,0,BAJA
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,CORE,215505158144.0,0.532,,DEFENSIVO,-1,303.17,36.5,320.84,309.19,False,True,True,25.37,-120.36,14593999872.0,8562999808.0,,3.76,344.79,13.73,3,3,5,PULLBACK,SEGUIMIENTO,BAJA,4,6.33,3,5,0,BAJA
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,CORE,213109112832.0,0.41,0.42848,DEFENSIVO,-1,155.9,48.99,160.32,148.43,True,True,True,25.98,10.44,18173999104.0,8240000000.0,258.08,2.92,170.06,9.08,3,3,5,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.4,2,5,0,BAJA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,16043552768.0,0.994,-0.13465999,BALANCEADO,1,60.83,33.95,78.15,143.74,False,True,False,,10.15,-22988000.0,-189224992.0,76.38,,165.22,171.6,2,2,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.82,5,5,0,BAJA
OKLO,Oklo Inc.,Utilities,Utilities - Independent Power Producers,GROWTH,9320643584.0,0.943,-0.12236,BALANCEADO,1,53.7,48.62,60.53,85.47,True,True,False,,5.84,-138772000.0,-105663000.0,0.1,,90.41,68.35,2,2,5,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,4,5,0,BAJA
NVDA,NVIDIA Corporation,Technology,Semiconductors,CORE,4586839474176.0,2.335,1.01485,ESPECULATIVO,-1,188.73,61.44,182.0,180.91,True,False,True,38.51,29.16,133230002176.0,120066998272.0,7.25,0.09,268.22,42.12,2,4,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.82,5,5,0,BAJA
