Ticker,TieneCedear,TickerCedearARS,TickerCedearCCL,CedearsPorAccionUSA,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
GFI,False,,,,Gold Fields Limited,Basic Materials,Gold,CORE,S&P 500,41196920832.0,0.82,0.51931,BALANCEADO,1,45.74,45.64,49.24,41.75,True,True,True,11.69,9.77,5170800128.0,3567399936.0,37.14,0.62,59.03,29.06,3,5,9,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.0,1,9,0,MEDIA
NOC,False,,,,Northrop Grumman Corporation,Industrials,Aerospace & Defense,CORE,S&P 500,96487383040.0,0.046,0.26167,DEFENSIVO,-1,589.63,19.98,703.2,618.34,False,True,True,23.34,5.79,6819999744.0,4182000128.0,107.26,2.62,736.1,24.84,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.97,2,8,0,MEDIA
CAH,True,CAH.BA,CAHC.BA,3.0,"Cardinal Health, Inc.",Healthcare,Medical Distribution,OTRO,Nasdaq,48072708096.0,0.65,,DEFENSIVO,0,199.08,29.89,216.36,187.94,False,True,True,29.39,-16.72,3823000064.0,1662000000.0,,2.36,248.27,24.71,5,3,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.59,3,6,2,MEDIA
GD,False,,,,General Dynamics Corporation,Industrials,Aerospace & Defense,CORE,S&P 500,91954880512.0,0.387,0.17658001,DEFENSIVO,-1,320.16,29.23,348.58,337.77,False,True,True,21.96,3.58,6344000000.0,4209999872.0,38.2,1.54,393.93,23.04,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.97,2,8,0,MEDIA
HSY,False,,,,The Hershey Company,Consumer Defensive,Confectioners,CORE,S&P 500,38559928320.0,0.175,0.1889,DEFENSIVO,-1,187.98,27.74,214.82,192.38,False,True,True,43.73,8.32,1975124992.0,883259008.0,123.76,2.91,227.78,21.17,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,4.94,8,8,0,MEDIA
RTX,True,RTX.BA,RTXC.BA,5.0,RTX Corporation,Industrials,Aerospace & Defense,CORE,S&P 500,267943100416.0,0.428,0.109519996,DEFENSIVO,-1,180.51,28.56,199.85,177.77,False,True,True,40.05,4.1,14734999552.0,6732000256.0,59.51,2.71,216.34,19.85,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.97,2,8,0,MEDIA
JNJ,True,JNJ.BA,JNJC.BA,15.0,Johnson & Johnson,Healthcare,Drug Manufacturers - General,CORE,Dow Jones,573483646976.0,0.329,,DEFENSIVO,-1,224.15,26.48,240.61,203.8,False,True,True,21.59,7.03,34104750080.0,21040001024.0,60.5,1.45,241.92,7.93,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.59,3,8,0,MEDIA
ABT,True,ABT.BA,ABTC.BA,4.0,Abbott Laboratories,Healthcare,Medical Devices,CORE,S&P 500,177556439040.0,0.782,0.12961,DEFENSIVO,0,92.03,23.68,106.98,121.98,False,True,False,27.47,3.4,12033000448.0,6499999744.0,26.79,1.17,131.44,42.82,4,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.59,3,8,0,MEDIA
TM,False,,,,Toyota Motor Corporation,Consumer Cyclical,Auto Manufacturers,CORE,S&P 500,266663067648.0,0.357,0.10032,DEFENSIVO,-1,200.95,36.61,220.73,206.46,True,True,True,11.42,17.43,6204942188544.0,3695587885056.0,105.34,6.79,257.24,28.01,4,5,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.42,5,8,0,MEDIA
DHR,True,DHR.BA,DHRC.BA,54.0,Danaher Corporation,Healthcare,Diagnostics & Research,CORE,S&P 500,140718948352.0,0.986,0.07053,BALANCEADO,1,186.28,39.43,197.93,209.45,True,True,False,39.61,2.68,7834999808.0,3600000000.0,37.49,2.51,261.36,40.31,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.59,3,7,1,MEDIA
