Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,86046916608.0,1.005,0.15488,BALANCEADO,1,81.56,21.66,107.75,158.0,False,True,False,48.83,2737999872.0,1748000000.0,18.54,183.99,125.59,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.73,2,9,0,MEDIA
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,63019147264.0,1.319,0.16016,AGRESIVO,1,42.56,22.69,56.8,66.06,False,True,False,28.0,3864000000.0,2249999872.0,79.33,64.09,50.6,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.67,3,9,0,MEDIA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,5013278208.0,1.025,0.14374,BALANCEADO,1,9.38,29.55,11.42,13.27,False,True,False,18.03,75536000.0,282329984.0,3.9,13.8,47.17,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.73,2,9,0,MEDIA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2752246710272.0,1.107,0.34390998,BALANCEADO,1,370.31,37.92,393.87,474.17,True,True,False,23.19,175258992640.0,119262003200.0,31.54,587.31,58.6,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.73,2,8,0,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3821460783104.0,1.109,1.5202099,BALANCEADO,1,260.0,54.92,260.87,250.63,True,True,True,32.95,152901992448.0,117776998400.0,102.63,296.12,13.89,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.73,2,8,0,MEDIA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,176052994048.0,1.441,0.12024,AGRESIVO,1,99.28,51.09,102.08,111.02,True,True,False,14.62,19306000384.0,12252000256.0,40.91,128.39,29.32,2,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.75,1,8,0,MEDIA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,14914727936.0,0.994,-0.13465999,BALANCEADO,1,56.55,25.25,79.33,144.43,False,True,False,,-22988000.0,-189224992.0,76.38,167.15,195.58,4,2,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.73,2,7,0,BAJA
IBM,International Business Machines Corporation,Technology,Information Technology Services,CORE,216669274112.0,0.685,0.35158002,DEFENSIVO,0,230.91,35.49,256.34,276.43,True,True,False,20.71,16117999616.0,10570999808.0,197.33,310.76,34.58,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.73,2,7,0,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,89165193216.0,1.492,0.35985002,AGRESIVO,1,1758.78,52.03,1827.94,2141.1,True,True,False,44.58,4019000064.0,1996999936.0,169.24,2505.65,42.47,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.67,3,7,0,BAJA
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,1580681265152.0,1.309,0.30238,AGRESIVO,1,624.89,56.03,633.51,682.69,True,True,False,26.59,101891997696.0,60458000384.0,39.16,860.25,37.66,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.75,1,7,0,BAJA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3835898363904.0,1.128,0.35705003,BALANCEADO,1,317.1,61.33,308.34,268.55,True,False,True,29.36,150175006720.0,132169998336.0,16.13,376.29,18.67,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.75,1,7,0,BAJA
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,CORE,443378925568.0,0.978,0.29650998,BALANCEADO,1,998.9,50.36,992.71,949.17,True,False,True,52.03,13459999744.0,8549000192.0,60.26,1067.94,6.91,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.8,4,7,0,BAJA
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,CORE,217395970048.0,0.532,,DEFENSIVO,-1,305.83,39.23,321.09,309.1,True,True,True,25.59,14593999872.0,8562999808.0,,344.85,12.76,4,3,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.67,3,6,0,BAJA
BA,The Boeing Company,Industrials,Aerospace & Defense,CORE,170481041408.0,1.128,2.90084,BALANCEADO,1,216.94,55.02,220.96,219.01,True,True,True,87.12,-3238000128.0,1888999936.0,1032.89,267.24,23.19,3,2,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.0,7,6,0,BAJA
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,341160853504.0,0.403,0.31562,DEFENSIVO,-1,145.76,45.68,153.03,151.63,True,True,True,21.59,24764999680.0,16161999872.0,68.72,166.23,14.04,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.8,4,6,0,BAJA
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,CORE,373580627968.0,0.587,0.07231,DEFENSIVO,-1,187.55,38.27,190.8,163.62,False,True,True,28.33,37631000576.0,12298999808.0,24.32,203.54,8.53,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,6,6,0,BAJA
ORCL,Oracle Corporation,Technology,Software - Infrastructure,CORE,395341299712.0,1.597,0.57572,AGRESIVO,1,137.43,37.3,150.62,216.52,False,True,False,24.68,27441000448.0,16188000256.0,415.26,246.46,79.33,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.73,2,6,0,BAJA
MA,Mastercard Incorporated,Financial Services,Credit Services,CORE,443715551232.0,0.831,2.09915,BALANCEADO,1,497.2,45.87,514.9,551.79,True,True,False,30.1,20544000000.0,14968000512.0,256.04,657.11,32.16,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.0,8,6,0,BAJA
