Ticker,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,Dow Jones,64907128832.0,1.319,0.16016,AGRESIVO,1,43.83,28.85,56.05,65.88,False,True,False,28.84,4.61,3864000000.0,2249999872.0,79.33,2.89,63.64,45.2,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.33,1,9,0,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,Dow Jones,3815347847168.0,1.109,1.5202099,BALANCEADO,1,259.58,54.17,260.9,251.22,True,True,True,32.82,43.28,152901992448.0,117776998400.0,102.63,0.59,296.33,14.16,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.82,6,8,0,MEDIA
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,CORE,Dow Jones,991687147520.0,0.661,0.21847,DEFENSIVO,0,124.39,49.38,125.65,110.3,True,True,True,45.56,9.95,44027998208.0,21892999168.0,64.44,1.55,136.44,9.69,3,4,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.2,2,7,0,BAJA
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,S&P 500,94298128384.0,1.005,0.15488,BALANCEADO,1,89.37,33.31,106.67,156.88,False,True,False,53.51,7.22,2737999872.0,1748000000.0,18.54,0.88,182.29,103.97,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.82,6,7,0,BAJA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,S&P 500,5344823296.0,1.025,0.14374,BALANCEADO,1,9.99,38.88,11.31,13.25,False,True,False,19.22,2.58,75536000.0,282329984.0,3.9,1.08,13.8,38.19,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.82,6,7,0,BAJA
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,GROWTH,S&P 500,106692149248.0,1.188,0.16364,BALANCEADO,1,294.49,50.95,295.02,328.16,True,True,False,39.74,6.34,5632000000.0,2319000064.0,63.94,1.69,373.3,26.76,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,5,6,1,BAJA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,S&P 500,4021405876224.0,1.128,0.35705003,BALANCEADO,1,332.43,69.35,307.89,270.1,True,False,True,30.78,9.68,150175006720.0,132169998336.0,16.13,0.45,375.93,13.09,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.0,3,7,0,BAJA
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,CORE,S&P 500,432031432704.0,0.978,0.29650998,BALANCEADO,1,973.33,41.48,993.92,949.09,False,True,True,50.64,26.11,13459999744.0,8549000192.0,60.26,0.76,1067.94,9.72,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.2,2,7,0,BAJA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,S&P 500,16243997696.0,0.994,-0.13465999,BALANCEADO,1,61.59,35.46,77.03,143.06,True,True,False,,10.28,-22988000.0,-189224992.0,76.38,,165.22,168.25,3,2,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.82,6,6,0,BAJA
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,Dow Jones,337661820928.0,0.403,0.31562,DEFENSIVO,-1,144.27,43.01,152.74,151.48,True,True,True,21.37,6.41,24764999680.0,16161999872.0,68.72,1.48,164.95,14.34,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.2,2,6,0,BAJA
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,CORE,Dow Jones,369676877824.0,0.587,0.07231,DEFENSIVO,-1,185.6,37.83,191.41,164.08,False,True,True,27.95,1.97,37631000576.0,12298999808.0,24.32,1.24,207.96,12.05,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,4,6,0,BAJA
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,CORE,Dow Jones,327545618432.0,0.361,0.43323,DEFENSIVO,-1,76.1,46.74,77.61,71.55,True,True,True,25.03,10.18,16078000128.0,13107000320.0,139.79,2.98,83.67,9.95,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.2,2,6,0,BAJA
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,CORE,Dow Jones,615711178752.0,0.288,0.110810004,DEFENSIVO,-1,148.12,36.54,154.33,125.35,False,True,True,22.11,2.39,59385999360.0,28843999232.0,18.94,0.85,162.71,9.85,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,4,6,0,BAJA
MA,Mastercard Incorporated,Financial Services,Credit Services,CORE,S&P 500,457088729088.0,0.831,2.09915,BALANCEADO,1,512.18,54.72,513.7,551.43,True,True,False,30.98,59.18,20544000000.0,14968000512.0,256.04,0.97,657.11,28.3,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,4.75,7,6,0,BAJA
IBM,International Business Machines Corporation,Technology,Information Technology Services,CORE,Dow Jones,225396473856.0,0.685,0.35158002,DEFENSIVO,0,240.19,45.31,253.58,275.9,True,True,False,21.58,6.89,16117999616.0,10570999808.0,197.33,4.01,307.48,28.01,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.82,6,6,0,BAJA
V,Visa Inc.,Financial Services,Credit Services,CORE,Dow Jones,599147937792.0,0.799,0.53954,DEFENSIVO,0,310.75,54.1,313.03,335.1,True,True,False,29.21,15.51,28987000832.0,20592001024.0,54.61,0.73,394.86,27.07,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,4.75,7,6,0,BAJA
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,Dow Jones,339222134784.0,1.085,1.45541,BALANCEADO,1,340.58,51.16,355.9,372.81,True,True,False,23.93,26.48,25010999296.0,14156000256.0,514.39,2.64,408.21,19.86,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.33,1,6,0,BAJA
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,CORE,S&P 500,411882553344.0,1.963,0.07082,ESPECULATIVO,0,252.62,72.94,209.56,200.48,True,False,True,96.42,6.54,6744999936.0,4268999936.0,6.36,0.59,289.35,14.54,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.82,6,6,0,BAJA
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,CORE,S&P 500,1367573397504.0,1.915,0.049250003,ESPECULATIVO,0,364.46,46.01,391.7,397.67,True,True,False,337.45,16.64,10503000064.0,3793999872.0,17.76,1.4,415.3,13.95,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.33,1,6,0,BAJA
