Ticker,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
ABT,Abbott Laboratories,Healthcare,Medical Devices,CORE,S&P 500,177556439040.0,0.782,0.12961,DEFENSIVO,0,97.49,28.35,108.26,122.8,False,True,False,27.47,3.4,12033000448.0,6499999744.0,26.79,1.17,131.44,34.82,4,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.58,5,7,1,MEDIA
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,Dow Jones,67891269632.0,1.319,0.16016,AGRESIVO,1,45.9,38.05,55.42,65.62,True,True,False,30.16,4.82,3864000000.0,2249999872.0,79.33,2.89,63.64,38.65,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.91,2,8,0,MEDIA
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,CORE,S&P 500,45511487488.0,0.945,0.10353,BALANCEADO,1,78.29,38.81,81.25,80.79,False,True,True,43.29,4.4,1794499968.0,1060099968.0,6.82,0.39,96.78,23.61,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.58,5,8,0,MEDIA
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,CORE,S&P 500,79172132864.0,1.278,0.09646,AGRESIVO,1,140.24,54.12,141.51,137.6,True,True,True,34.51,3.9,5878000128.0,2304999936.0,69.28,2.39,164.17,17.06,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.07,1,8,0,MEDIA
GE,GE Aerospace,Industrials,Aerospace & Defense,CORE,S&P 500,331591286784.0,1.428,0.44692,AGRESIVO,1,306.58,51.46,312.52,296.34,True,True,True,39.05,17.65,10702999552.0,8600999936.0,114.07,2.01,352.75,15.06,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.07,1,7,1,MEDIA
CMCSA,Comcast Corporation,Communication Services,Telecom Services,CORE,S&P 500,103413727232.0,0.79,0.2141,DEFENSIVO,0,28.73,48.71,30.04,29.27,True,True,True,5.27,1.06,36879998976.0,19997999104.0,107.86,2.85,32.68,13.76,3,5,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.89,3,8,0,MEDIA
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,CORE,S&P 500,87822188544.0,1.098,0.33772,BALANCEADO,1,104.11,60.18,105.97,97.16,True,True,True,15.76,5.41,12211999744.0,5571999744.0,175.88,2.34,112.71,8.26,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.07,1,8,0,MEDIA
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,S&P 500,136768389120.0,0.965,,BALANCEADO,1,243.44,50.17,253.65,248.26,True,True,True,20.58,-13.79,12400000000.0,6636000256.0,,3.6,285.58,17.31,3,3,7,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.91,2,7,0,BAJA
T,AT&T Inc.,Communication Services,Telecom Services,CORE,S&P 500,178759729152.0,0.539,0.18805,DEFENSIVO,-1,26.18,37.3,27.87,26.82,False,True,True,8.4,1.63,44243001344.0,21888999424.0,124.18,3.61,30.39,16.09,3,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.89,3,9,-2,BAJA
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,CORE,Dow Jones,190858641408.0,0.27,0.17069,DEFENSIVO,-1,46.1,34.58,49.15,43.57,False,True,True,11.15,1.83,49997000704.0,17173999616.0,174.78,3.7,51.58,11.89,3,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.89,3,9,-2,BAJA
