Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,86236839936.0,1.005,0.15488,BALANCEADO,1,81.73,21.75,107.75,158.0,False,True,False,48.94,2737999872.0,1748000000.0,18.54,183.99,125.12,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.73,2,9,0,MEDIA
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,63033954304.0,1.319,0.16016,AGRESIVO,1,42.57,22.71,56.8,66.06,False,True,False,28.0,3864000000.0,2249999872.0,79.33,64.09,50.56,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.67,3,9,0,MEDIA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,5018626048.0,1.025,0.14374,BALANCEADO,1,9.39,29.61,11.42,13.27,False,True,False,18.05,75536000.0,282329984.0,3.9,13.8,47.02,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.73,2,9,0,MEDIA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2752432308224.0,1.107,0.34390998,BALANCEADO,1,370.33,37.94,393.87,474.17,True,True,False,23.19,175258992640.0,119262003200.0,31.54,587.31,58.59,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.73,2,8,0,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3821240057856.0,1.109,1.5202099,BALANCEADO,1,259.98,54.9,260.87,250.63,True,True,True,32.95,152901992448.0,117776998400.0,102.63,296.12,13.9,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.73,2,8,0,MEDIA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,176123936768.0,1.441,0.12024,AGRESIVO,1,99.32,51.22,102.08,111.02,True,True,False,14.63,19306000384.0,12252000256.0,40.91,128.39,29.27,2,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.75,1,8,0,MEDIA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,14909452288.0,0.994,-0.13465999,BALANCEADO,1,56.53,25.23,79.33,144.43,False,True,False,,-22988000.0,-189224992.0,76.38,167.15,195.69,4,2,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.73,2,7,0,BAJA
IBM,International Business Machines Corporation,Technology,Information Technology Services,CORE,216917950464.0,0.685,0.35158002,DEFENSIVO,0,231.1,35.61,256.35,276.43,True,True,False,20.73,16117999616.0,10570999808.0,197.33,310.76,34.47,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.73,2,7,0,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,89344401408.0,1.492,0.35985002,AGRESIVO,1,1763.03,52.54,1828.02,2141.12,True,True,False,44.67,4019000064.0,1996999936.0,169.24,2505.65,42.12,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.67,3,7,0,BAJA
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,1580466176000.0,1.309,0.30238,AGRESIVO,1,624.74,55.98,633.51,682.69,True,True,False,26.59,101891997696.0,60458000384.0,39.16,860.25,37.7,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.75,1,7,0,BAJA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3835353890816.0,1.128,0.35705003,BALANCEADO,1,317.05,61.29,308.34,268.55,True,False,True,29.36,150175006720.0,132169998336.0,16.13,376.29,18.68,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.75,1,7,0,BAJA
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,CORE,443165868032.0,0.978,0.29650998,BALANCEADO,1,998.41,50.18,992.7,949.17,True,False,True,52.0,13459999744.0,8549000192.0,60.26,1067.94,6.96,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.8,4,7,0,BAJA
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,CORE,217378193408.0,0.532,,DEFENSIVO,-1,305.81,39.2,321.09,309.1,True,True,True,25.59,14593999872.0,8562999808.0,,344.85,12.77,4,3,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.67,3,6,0,BAJA
BA,The Boeing Company,Industrials,Aerospace & Defense,CORE,170528178176.0,1.128,2.90084,BALANCEADO,1,217.0,55.07,220.97,219.01,True,True,True,87.15,-3238000128.0,1888999936.0,1032.89,267.24,23.15,3,2,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.0,7,6,0,BAJA
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,341149122560.0,0.403,0.31562,DEFENSIVO,-1,145.76,45.67,153.03,151.63,True,True,True,21.59,24764999680.0,16161999872.0,68.72,166.23,14.04,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.8,4,6,0,BAJA
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,CORE,373560672256.0,0.587,0.07231,DEFENSIVO,-1,187.52,38.24,190.8,163.62,False,True,True,28.33,37631000576.0,12298999808.0,24.32,203.54,8.54,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,6,6,0,BAJA
ORCL,Oracle Corporation,Technology,Software - Infrastructure,CORE,395053694976.0,1.597,0.57572,AGRESIVO,1,137.37,37.25,150.62,216.52,False,True,False,24.66,27441000448.0,16188000256.0,415.26,246.46,79.41,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.73,2,6,0,BAJA
MA,Mastercard Incorporated,Financial Services,Credit Services,CORE,443211350016.0,0.831,2.09915,BALANCEADO,1,496.63,45.57,514.89,551.79,True,True,False,30.06,20544000000.0,14968000512.0,256.04,657.11,32.31,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.0,8,6,0,BAJA
V,Visa Inc.,Financial Services,Credit Services,CORE,586442145792.0,0.799,0.53954,DEFENSIVO,0,304.15,46.33,313.7,335.46,True,True,False,28.59,28987000832.0,20592001024.0,54.61,395.26,29.95,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.0,8,6,0,BAJA
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,335621455872.0,1.085,1.45541,BALANCEADO,1,336.96,48.7,357.18,373.03,True,True,False,23.68,25010999296.0,14156000256.0,514.39,408.18,21.14,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.67,3,6,0,BAJA
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,CORE,1299767361536.0,1.915,0.049250003,ESPECULATIVO,0,346.38,35.57,394.25,397.34,False,True,False,323.72,10503000064.0,3793999872.0,17.76,416.15,20.14,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.67,3,6,0,BAJA
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,CORE,400274030592.0,1.963,0.07082,ESPECULATIVO,0,245.51,70.31,209.36,199.42,True,False,True,94.42,6744999936.0,4268999936.0,6.36,289.35,17.86,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.73,2,6,0,BAJA
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,CORE,1009585225728.0,0.661,0.21847,DEFENSIVO,0,126.64,54.26,125.4,110.02,True,False,True,46.56,44027998208.0,21892999168.0,64.44,136.02,7.41,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.8,4,6,0,BAJA
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,GROWTH,584164311040.0,1.382,0.50458,AGRESIVO,1,1487.72,62.08,1392.79,1067.59,True,False,True,51.6,12266399744.0,9609400320.0,23.92,1503.3,1.05,2,3,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.73,2,6,0,BAJA
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,GROWTH,103196008448.0,1.188,0.16364,BALANCEADO,1,284.84,45.56,294.63,328.41,False,True,False,38.49,5632000000.0,2319000064.0,63.94,373.3,31.05,1,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,5,6,0,BAJA
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,CORE,2554672447488.0,1.383,0.22286,AGRESIVO,1,237.55,71.05,213.39,224.85,True,False,False,33.13,145730994176.0,77669998592.0,43.44,281.27,18.41,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,6.67,3,6,0,BAJA
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,CORE,214773760000.0,0.41,0.42848,DEFENSIVO,-1,157.12,51.72,160.17,148.29,True,True,True,26.19,18173999104.0,8240000000.0,258.08,170.16,8.3,3,3,5,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.8,4,5,0,BAJA
OKLO,Oklo Inc.,Utilities,Utilities - Independent Power Producers,GROWTH,8659346432.0,0.943,-0.12236,BALANCEADO,1,49.89,42.11,61.17,85.48,True,True,False,,-138772000.0,-105663000.0,0.1,91.03,82.46,2,2,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,5,5,0,BAJA
NVDA,NVIDIA Corporation,Technology,Semiconductors,CORE,4582221545472.0,2.335,1.01485,ESPECULATIVO,-1,188.52,61.26,182.08,180.74,True,False,True,38.55,133230002176.0,120066998272.0,7.25,268.22,42.28,2,4,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.73,2,5,0,BAJA
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,CORE,334217478144.0,0.361,0.43323,DEFENSIVO,-1,77.65,55.2,77.53,71.49,True,False,True,25.54,16078000128.0,13107000320.0,139.79,83.67,7.75,2,4,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.8,4,5,0,BAJA
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,CORE,634083147776.0,0.288,0.110810004,DEFENSIVO,-1,152.55,41.68,153.95,124.94,False,True,True,22.77,59385999360.0,28843999232.0,18.94,160.88,5.46,2,4,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,6,5,0,BAJA
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,CORE,372469628928.0,1.519,0.43526,AGRESIVO,1,795.91,67.98,723.41,559.58,True,False,True,42.31,13960999936.0,8883999744.0,206.67,742.56,-6.7,2,2,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.0,7,5,0,BAJA
