Ticker,TieneCedear,TickerCedearARS,TickerCedearCCL,CedearsPorAccionUSA,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
GFI,False,,,,Gold Fields Limited,Basic Materials,Gold,CORE,S&P 500,41196920832.0,0.82,0.51931,BALANCEADO,1,45.48,45.0,49.23,41.75,True,True,True,11.69,9.77,5170800128.0,3567399936.0,37.14,0.62,59.03,29.8,3,5,9,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.04,1,9,0,MEDIA
NOC,False,,,,Northrop Grumman Corporation,Industrials,Aerospace & Defense,CORE,S&P 500,96487383040.0,0.046,0.26167,DEFENSIVO,-1,590.9,20.14,703.23,618.34,False,True,True,23.34,5.79,6819999744.0,4182000128.0,107.26,2.62,736.1,24.57,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.97,2,8,0,MEDIA
GD,False,,,,General Dynamics Corporation,Industrials,Aerospace & Defense,CORE,S&P 500,91954880512.0,0.387,0.17658001,DEFENSIVO,-1,320.56,29.44,348.59,337.77,False,True,True,21.96,3.58,6344000000.0,4209999872.0,38.2,1.54,393.93,22.89,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.97,2,8,0,MEDIA
HSY,False,,,,The Hershey Company,Consumer Defensive,Confectioners,CORE,S&P 500,38559928320.0,0.175,0.1889,DEFENSIVO,-1,188.2,27.9,214.82,192.38,False,True,True,43.73,8.32,1975124992.0,883259008.0,123.76,2.91,227.78,21.03,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,4.88,8,8,0,MEDIA
RTX,True,RTX.BA,RTXC.BA,5.0,RTX Corporation,Industrials,Aerospace & Defense,CORE,S&P 500,267943100416.0,0.428,0.109519996,DEFENSIVO,-1,181.25,29.09,199.86,177.77,False,True,True,40.05,4.1,14734999552.0,6732000256.0,59.51,2.71,216.34,19.36,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.97,2,8,0,MEDIA
JNJ,True,JNJ.BA,JNJC.BA,15.0,Johnson & Johnson,Healthcare,Drug Manufacturers - General,CORE,Dow Jones,573483646976.0,0.329,,DEFENSIVO,-1,224.27,26.59,240.61,203.8,False,True,True,21.59,7.03,34104750080.0,21040001024.0,60.5,1.45,241.92,7.87,5,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.5,4,8,0,MEDIA
ABT,True,ABT.BA,ABTC.BA,4.0,Abbott Laboratories,Healthcare,Medical Devices,CORE,S&P 500,177556439040.0,0.782,0.12961,DEFENSIVO,0,92.05,23.7,106.98,121.98,False,True,False,27.47,3.4,12033000448.0,6499999744.0,26.79,1.17,131.44,42.79,4,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.5,4,8,0,MEDIA
TM,False,,,,Toyota Motor Corporation,Consumer Cyclical,Auto Manufacturers,CORE,S&P 500,266663067648.0,0.357,0.10032,DEFENSIVO,-1,200.74,36.44,220.72,206.46,True,True,True,11.42,17.43,6204942188544.0,3695587885056.0,105.34,6.79,257.24,28.15,4,5,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.42,5,8,0,MEDIA
NKE,True,NKE.BA,NKEC.BA,12.0,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,Dow Jones,67891269632.0,1.319,0.16016,AGRESIVO,1,45.83,38.59,54.05,65.03,True,True,False,30.16,4.82,3864000000.0,2249999872.0,79.33,2.89,63.64,38.86,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.42,5,8,0,MEDIA
HL,False,,,,Hecla Mining Company,Basic Materials,Other Precious Metals & Mining,CORE,S&P 500,12224415744.0,1.394,0.13893,AGRESIVO,1,18.8,45.91,20.41,15.64,True,True,True,37.2,4.72,696435008.0,321160000.0,11.0,0.41,26.0,38.3,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.04,1,8,0,MEDIA
GE,True,GE.BA,GEC.BA,8.0,GE Aerospace,Industrials,Aerospace & Defense,CORE,S&P 500,331591286784.0,1.428,0.44692,AGRESIVO,1,274.04,36.71,310.68,297.2,False,True,True,39.05,17.65,10702999552.0,8600999936.0,114.07,2.01,352.75,28.72,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,5.97,2,8,0,MEDIA
