Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,ScoreAnterior,EstadoAnterior,CambioScore,Evolucion,PrioridadRadar
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,65188646912.0,1.319,0.16016,AGRESIVO,1,44.01,19.91,58.46,66.4,False,True,False,28.96,3864000000.0,2249999872.0,79.33,65.46,48.73,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.83,1,9,COMPRA POTENCIAL,0,SIN CAMBIOS,MEDIA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2768560717824.0,1.107,0.34390998,BALANCEADO,1,372.46,38.88,402.03,476.39,True,True,False,23.31,175258992640.0,119262003200.0,31.54,587.31,57.69,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.09,3,8,COMPRA POTENCIAL,0,SIN CAMBIOS,MEDIA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3630430683136.0,1.128,0.35705003,BALANCEADO,1,300.11,51.02,309.81,265.62,True,True,True,27.79,150175006720.0,132169998336.0,16.13,376.29,25.38,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.75,2,8,COMPRA POTENCIAL,0,SIN CAMBIOS,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3807644483584.0,1.109,1.5202099,BALANCEADO,1,259.05,54.64,260.58,249.47,True,True,True,32.75,152901992448.0,117776998400.0,102.63,295.07,13.91,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.09,3,8,COMPRA POTENCIAL,0,SIN CAMBIOS,MEDIA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,171069767680.0,1.441,0.12024,AGRESIVO,1,96.46,40.02,103.05,111.41,True,True,False,14.21,19306000384.0,12252000256.0,40.91,128.73,33.46,2,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.75,2,8,COMPRA POTENCIAL,0,SIN CAMBIOS,MEDIA
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,324007493632.0,1.085,1.45541,BALANCEADO,1,325.3,37.13,361.05,373.43,True,True,False,22.88,25010999296.0,14156000256.0,514.39,408.18,25.48,3,3,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,1,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,CORE,1316953522176.0,1.915,0.049250003,ESPECULATIVO,0,350.98,36.0,401.51,397.09,False,True,True,324.96,10503000064.0,3793999872.0,17.76,416.15,18.57,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,1,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,108099395584.0,1.005,0.15488,BALANCEADO,1,102.45,39.31,110.98,160.09,False,True,False,61.35,2737999872.0,1748000000.0,18.54,185.04,80.62,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.09,3,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,86734766080.0,1.492,0.35985002,AGRESIVO,1,1710.84,47.26,1864.82,2154.69,True,True,False,43.36,4019000064.0,1996999936.0,169.24,2544.5,48.73,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,1,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,GROWTH,100261421056.0,1.188,0.16364,BALANCEADO,1,276.73,39.37,295.24,329.05,False,True,False,37.45,5632000000.0,2319000064.0,63.94,375.82,35.81,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,4,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,CORE,2279451918336.0,1.383,0.22286,AGRESIVO,1,212.34,52.31,214.56,224.54,True,True,False,29.62,145730994176.0,77669998592.0,43.44,281.27,32.46,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,1,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,GROWTH,510923538432.0,1.382,0.50458,AGRESIVO,1,1301.19,44.27,1393.05,1054.81,False,True,True,45.53,12266399744.0,9609400320.0,23.92,1475.97,13.43,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.09,3,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,18005807104.0,0.994,-0.13465999,BALANCEADO,1,68.27,37.37,85.23,147.11,True,True,False,,-22988000.0,-189224992.0,76.38,167.63,145.55,3,2,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.09,3,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
NVDA,NVIDIA Corporation,Technology,Semiconductors,CORE,4306967724032.0,2.335,1.01485,ESPECULATIVO,-1,177.21,48.88,182.5,179.98,True,True,True,36.16,133230002176.0,120066998272.0,7.25,268.22,51.36,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.09,3,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
BA,The Boeing Company,Industrials,Aerospace & Defense,CORE,166437863424.0,1.128,2.90084,BALANCEADO,1,211.79,51.88,223.39,218.67,True,True,True,85.4,-3238000128.0,1888999936.0,1032.89,269.0,27.01,3,2,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.0,7,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,333039370240.0,0.403,0.31562,DEFENSIVO,-1,142.29,32.54,153.35,151.92,False,True,True,21.05,24764999680.0,16161999872.0,68.72,166.95,17.33,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.8,5,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,CORE,332043878400.0,0.361,0.43323,DEFENSIVO,-1,77.14,54.19,77.19,71.33,True,True,True,25.38,16078000128.0,13107000320.0,139.79,83.54,8.29,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.8,5,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,CORE,359024459776.0,1.963,0.07082,ESPECULATIVO,0,220.2,58.98,210.97,197.35,True,False,True,84.37,6744999936.0,4268999936.0,6.36,289.61,31.52,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.09,3,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
MA,Mastercard Incorporated,Financial Services,Credit Services,CORE,447463784448.0,0.831,2.09915,BALANCEADO,1,501.39,48.09,516.66,552.62,True,True,False,30.33,20544000000.0,14968000512.0,256.04,657.11,31.06,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,6,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
V,Visa Inc.,Financial Services,Credit Services,CORE,586220371968.0,0.799,0.53954,DEFENSIVO,0,304.05,45.76,315.37,336.21,True,True,False,28.55,28987000832.0,20592001024.0,54.61,396.83,30.51,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,6,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
IBM,International Business Machines Corporation,Technology,Information Technology Services,CORE,231120764928.0,0.685,0.35158002,DEFENSIVO,0,246.29,47.47,260.77,277.39,True,True,False,22.11,16117999616.0,10570999808.0,197.33,313.4,27.25,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.09,3,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,CORE,799198150656.0,1.043,0.16134001,BALANCEADO,1,296.33,53.6,298.91,302.53,True,True,False,14.79,,55680999424.0,,337.75,13.98,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.5,6,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,CORE,1009864212480.0,0.661,0.21847,DEFENSIVO,0,126.67,58.2,124.66,109.42,True,False,True,46.4,44027998208.0,21892999168.0,64.44,136.02,7.38,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.8,5,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,CORE,452871094272.0,0.978,0.29650998,BALANCEADO,1,1020.28,64.78,989.09,948.62,True,False,True,53.19,13459999744.0,8549000192.0,60.26,1067.59,4.64,2,3,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.8,5,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,1461366161408.0,1.309,0.30238,AGRESIVO,1,577.72,42.34,638.24,684.45,False,True,False,24.58,101891997696.0,60458000384.0,39.16,860.25,48.9,1,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.75,2,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,GROWTH,5989196288.0,1.025,0.14374,BALANCEADO,1,11.2,46.09,11.77,13.31,False,True,False,21.54,75536000.0,282329984.0,3.9,13.8,23.26,1,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.09,3,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
