Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,ScoreAnterior,EstadoAnterior,CambioScore,Evolucion,PrioridadRadar
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,65218265088.0,1.319,0.16016,AGRESIVO,1,44.04,19.94,58.46,66.4,False,True,False,28.97,3864000000.0,2249999872.0,79.33,65.46,48.63,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.83,2,9,COMPRA POTENCIAL,0,SIN CAMBIOS,MEDIA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,170723966976.0,1.441,0.12024,AGRESIVO,1,96.27,39.48,103.05,111.41,True,True,False,14.18,19306000384.0,12252000256.0,40.91,128.73,33.72,3,5,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,7.0,1,9,COMPRA POTENCIAL,0,SIN CAMBIOS,MEDIA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2771385057280.0,1.107,0.34390998,BALANCEADO,1,372.88,39.13,402.04,476.39,True,True,False,23.33,175258992640.0,119262003200.0,31.54,587.31,57.51,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.18,3,8,COMPRA POTENCIAL,0,SIN CAMBIOS,MEDIA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3628978929664.0,1.128,0.35705003,BALANCEADO,1,299.99,50.93,309.81,265.62,True,True,True,27.78,150175006720.0,132169998336.0,16.13,376.29,25.43,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,7.0,1,8,COMPRA POTENCIAL,0,SIN CAMBIOS,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3804704800768.0,1.109,1.5202099,BALANCEADO,1,258.86,54.41,260.57,249.46,True,True,True,32.73,152901992448.0,117776998400.0,102.63,295.07,13.99,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.18,3,8,COMPRA POTENCIAL,0,SIN CAMBIOS,MEDIA
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,325347147776.0,1.085,1.45541,BALANCEADO,1,326.65,38.43,361.07,373.44,True,True,False,22.97,25010999296.0,14156000256.0,514.39,408.18,24.96,3,3,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,2,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,CORE,1323932975104.0,1.915,0.049250003,ESPECULATIVO,0,352.82,36.52,401.55,397.1,False,True,True,326.69,10503000064.0,3793999872.0,17.76,416.15,17.95,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,2,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,108078292992.0,1.005,0.15488,BALANCEADO,1,102.43,39.27,110.98,160.09,False,True,False,61.34,2737999872.0,1748000000.0,18.54,185.04,80.65,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,3,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,86710943744.0,1.492,0.35985002,AGRESIVO,1,1710.37,47.21,1864.81,2154.69,True,True,False,43.34,4019000064.0,1996999936.0,169.24,2544.5,48.77,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,2,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,GROWTH,99688996864.0,1.188,0.16364,BALANCEADO,1,275.16,38.43,295.21,329.04,False,True,False,37.23,5632000000.0,2319000064.0,63.94,375.82,36.58,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,4,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,CORE,2284283756544.0,1.383,0.22286,AGRESIVO,1,212.79,52.75,214.57,224.54,True,True,False,29.68,145730994176.0,77669998592.0,43.44,281.27,32.18,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,2,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,GROWTH,512030867456.0,1.382,0.50458,AGRESIVO,1,1304.01,44.53,1393.11,1054.83,False,True,True,45.63,12266399744.0,9609400320.0,23.92,1475.63,13.16,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,3,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,17958334464.0,0.994,-0.13465999,BALANCEADO,1,68.09,37.14,85.22,147.1,True,True,False,,-22988000.0,-189224992.0,76.38,167.63,146.2,3,2,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,3,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
