Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,ScoreAnterior,EstadoAnterior,CambioScore,Evolucion,PrioridadRadar
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,170617569280.0,1.441,0.12024,AGRESIVO,1,96.21,39.31,103.05,111.41,True,True,False,14.17,19306000384.0,12252000256.0,40.91,128.73,33.81,3,5,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,7.0,1,8,COMPRA POTENCIAL,1,MEJORANDO,ALTA
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,65284902912.0,1.319,0.16016,AGRESIVO,1,44.08,19.99,58.46,66.4,False,True,False,29.0,3864000000.0,2249999872.0,79.33,65.46,48.5,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.83,2,9,COMPRA POTENCIAL,0,SIN CAMBIOS,MEDIA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2767445819392.0,1.107,0.34390998,BALANCEADO,1,372.39,38.83,402.03,476.39,True,True,False,23.3,175258992640.0,119262003200.0,31.54,587.31,57.71,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.09,3,8,COMPRA POTENCIAL,0,SIN CAMBIOS,MEDIA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3625410625536.0,1.128,0.35705003,BALANCEADO,1,299.7,50.72,309.8,265.61,True,True,True,27.75,150175006720.0,132169998336.0,16.13,376.29,25.56,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,7.0,1,8,COMPRA POTENCIAL,0,SIN CAMBIOS,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3800811438080.0,1.109,1.5202099,BALANCEADO,1,258.59,54.06,260.57,249.46,True,True,True,32.69,152901992448.0,117776998400.0,102.63,295.07,14.11,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.09,3,8,COMPRA POTENCIAL,0,SIN CAMBIOS,MEDIA
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,325137989632.0,1.085,1.45541,BALANCEADO,1,326.44,38.23,361.07,373.44,True,True,False,22.96,25010999296.0,14156000256.0,514.39,408.18,25.04,3,3,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,2,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,CORE,1323032379392.0,1.915,0.049250003,ESPECULATIVO,0,352.58,36.45,401.54,397.1,False,True,True,326.46,10503000064.0,3793999872.0,17.76,416.15,18.03,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,2,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,107951677440.0,1.005,0.15488,BALANCEADO,1,102.31,39.04,110.98,160.08,False,True,False,61.26,2737999872.0,1748000000.0,18.54,185.04,80.87,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.09,3,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,86580649984.0,1.492,0.35985002,AGRESIVO,1,1707.8,46.94,1864.76,2154.68,True,True,False,43.28,4019000064.0,1996999936.0,169.24,2544.5,48.99,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,2,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,GROWTH,99792257024.0,1.188,0.16364,BALANCEADO,1,275.43,38.59,295.21,329.04,False,True,False,37.27,5632000000.0,2319000064.0,63.94,375.82,36.45,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,4,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
