Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,ScoreAnterior,EstadoAnterior,CambioScore,Evolucion,PrioridadRadar
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,66099118080.0,1.286,0.17950001,AGRESIVO,1,44.65,20.65,59.31,66.57,False,True,False,26.11,3808000000.0,2524000000.0,80.1,67.09,50.26,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.83,1,9,COMPRA POTENCIAL,0,SIN CAMBIOS,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3761640046592.0,1.116,1.5202099,BALANCEADO,1,255.93,50.33,260.2,248.86,True,True,True,32.44,152901992448.0,117776998400.0,102.63,295.07,15.29,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,5.73,6,8,COMPRA POTENCIAL,0,SIN CAMBIOS,MEDIA
V,Visa Inc.,Financial Services,Credit Services,CORE,576503152640.0,0.791,0.53954,DEFENSIVO,0,299.01,38.56,316.32,336.76,True,True,False,28.1,28987000832.0,20592001024.0,54.61,398.91,33.41,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.75,5,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,328394932224.0,1.044,1.45541,BALANCEADO,1,329.71,38.09,363.42,373.71,True,True,False,23.15,25010999296.0,14156000256.0,514.39,408.18,23.8,3,3,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,1,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2743513645056.0,1.108,0.34390998,BALANCEADO,1,369.11,35.54,405.01,477.44,False,True,False,23.09,175258992640.0,119262003200.0,31.54,589.9,59.82,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.73,6,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,87469367296.0,1.527,0.35985002,AGRESIVO,1,1725.33,48.72,1880.65,2161.81,True,True,False,43.77,4019000064.0,1996999936.0,169.24,2544.5,47.48,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,1,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,GROWTH,101449744384.0,1.107,0.16364,BALANCEADO,1,280.04,39.76,295.89,329.37,False,True,False,37.84,5632000000.0,2319000064.0,63.94,384.83,37.42,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,3,6,SEGUIMIENTO,1,MEJORANDO,BAJA
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,CORE,2270221041664.0,1.42,0.22286,AGRESIVO,1,211.47,51.27,215.45,224.59,True,True,False,29.54,145730994176.0,77669998592.0,43.44,281.26,33.0,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,1,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3601397972992.0,1.112,0.35705003,BALANCEADO,1,297.71,49.04,311.08,264.4,False,True,True,27.54,150175006720.0,132169998336.0,16.13,376.93,26.61,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,2,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,GROWTH,534520397824.0,1.431,0.50458,AGRESIVO,1,1361.29,50.16,1395.82,1049.4,False,True,True,47.93,12266399744.0,9609400320.0,23.92,1480.91,8.79,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,5.73,6,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,CORE,443674034176.0,0.993,0.29650998,BALANCEADO,1,999.39,56.61,987.63,948.26,True,False,True,51.98,13459999744.0,8549000192.0,25.98,1067.09,6.77,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.8,4,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,171628396544.0,1.443,0.12024,AGRESIVO,1,96.78,41.03,103.72,111.63,False,True,False,14.25,19306000384.0,12252000256.0,40.91,128.73,33.02,1,5,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,2,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
TEAM,Atlassian Corporation,Technology,Software - Application,GROWTH,18301202432.0,0.981,-0.13465999,BALANCEADO,1,69.39,38.75,87.51,148.42,True,True,False,,-22988000.0,-189224992.0,76.38,167.63,141.58,3,2,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.73,6,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,CORE,343690608640.0,2.022,0.07082,ESPECULATIVO,-1,210.81,53.95,212.29,196.44,True,True,True,81.08,6744999936.0,4268999936.0,6.36,289.61,37.38,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.73,6,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
BA,The Boeing Company,Industrials,Aerospace & Defense,CORE,163518447616.0,1.096,2.90084,BALANCEADO,1,208.08,48.7,225.04,218.59,True,True,True,83.57,-3238000128.0,1888999936.0,1032.89,270.36,29.93,3,2,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,4.67,7,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,338340544512.0,0.34,0.31562,DEFENSIVO,-1,144.56,36.99,153.57,152.1,False,True,True,21.42,24764999680.0,16161999872.0,68.72,166.95,15.49,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.8,4,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
MA,Mastercard Incorporated,Financial Services,Credit Services,CORE,439918231552.0,0.836,2.09915,BALANCEADO,1,492.96,42.31,517.99,553.34,True,True,False,29.8,20544000000.0,14968000512.0,256.04,657.11,33.3,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.75,5,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
IBM,International Business Machines Corporation,Technology,Information Technology Services,CORE,228568301568.0,0.706,0.35158002,DEFENSIVO,0,243.57,44.79,262.74,277.74,True,True,False,21.84,16117999616.0,10570999808.0,197.33,313.4,28.67,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.73,6,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,CORE,797997989888.0,1.059,0.16134001,BALANCEADO,1,295.97,53.17,299.21,302.28,True,True,False,14.77,,55680999424.0,,337.75,14.12,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,5.75,5,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,CORE,1428719665152.0,1.926,0.049250003,ESPECULATIVO,0,380.75,46.18,404.89,396.76,False,True,True,352.54,10503000064.0,3793999872.0,17.76,421.27,10.64,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,1,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,CORE,997427314688.0,0.657,0.21847,DEFENSIVO,0,125.11,54.12,124.36,109.11,True,False,True,45.83,44027998208.0,21892999168.0,64.44,136.02,8.72,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.8,4,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
