Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,ScoreAnterior,EstadoAnterior,CambioScore,Evolucion,PrioridadRadar
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,CORE,65003536384.0,1.319,0.16016,AGRESIVO,1,43.9,19.76,58.46,66.4,False,True,False,28.88,3864000000.0,2249999872.0,79.33,65.46,49.11,4,4,9,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.83,1,,,,NUEVA INCORPORACIÓN,MEDIA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2770790252544.0,1.107,0.34390998,BALANCEADO,1,372.79,39.07,402.04,476.39,True,True,False,23.33,175258992640.0,119262003200.0,31.54,587.31,57.55,3,4,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.18,3,7.0,SEGUIMIENTO,1.0,MEJORANDO,MEDIA
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3631701032960.0,1.128,0.35705003,BALANCEADO,1,300.21,51.09,309.81,265.62,True,True,True,27.8,150175006720.0,132169998336.0,16.13,376.29,25.34,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.75,2,8.0,COMPRA POTENCIAL,0.0,SIN CAMBIOS,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3806762631168.0,1.109,1.5202099,BALANCEADO,1,259.0,54.58,260.58,249.47,True,True,True,32.74,152901992448.0,117776998400.0,102.63,295.07,13.93,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.18,3,8.0,COMPRA POTENCIAL,0.0,SIN CAMBIOS,MEDIA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,171122982912.0,1.441,0.12024,AGRESIVO,1,96.5,40.1,103.05,111.41,True,True,False,14.21,19306000384.0,12252000256.0,40.91,128.73,33.4,2,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.75,2,8.0,COMPRA POTENCIAL,0.0,SIN CAMBIOS,MEDIA
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,323940777984.0,1.085,1.45541,BALANCEADO,1,325.24,37.07,361.04,373.43,True,True,False,22.87,25010999296.0,14156000256.0,514.39,408.18,25.5,3,3,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,1,7.0,SEGUIMIENTO,0.0,SIN CAMBIOS,BAJA
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,CORE,1311062228992.0,1.915,0.049250003,ESPECULATIVO,0,349.39,35.56,401.48,397.08,False,True,True,323.51,10503000064.0,3793999872.0,17.76,416.15,19.11,3,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,1,6.0,SEGUIMIENTO,1.0,MEJORANDO,BAJA
NOW,"ServiceNow, Inc.",Technology,Software - Application,GROWTH,108104679424.0,1.005,0.15488,BALANCEADO,1,102.46,39.32,110.98,160.09,False,True,False,61.35,2737999872.0,1748000000.0,18.54,185.04,80.6,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.18,3,,,,NUEVA INCORPORACIÓN,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,86716268544.0,1.492,0.35985002,AGRESIVO,1,1710.47,47.22,1864.81,2154.69,True,True,False,43.35,4019000064.0,1996999936.0,169.24,2544.5,48.76,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.83,1,7.0,SEGUIMIENTO,0.0,SIN CAMBIOS,BAJA
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,GROWTH,100361060352.0,1.188,0.16364,BALANCEADO,1,277.02,39.54,295.24,329.05,False,True,False,37.49,5632000000.0,2319000064.0,63.94,375.82,35.67,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,4,,,,NUEVA INCORPORACIÓN,BAJA
