Ticker,Empresa,Sector,Industria,TipoUniverso,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,EBITDA,NetIncome,DebtToEquity,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,ScoreAnterior,EstadoAnterior,CambioScore,Evolucion,PrioridadRadar
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,CORE,3576720261120.0,1.112,0.35705003,BALANCEADO,1,295.65,47.57,310.42,265.0,True,True,True,27.38,150175006720.0,132169998336.0,16.13,376.93,27.49,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.75,1,7,SEGUIMIENTO,1,MEJORANDO,MEDIA
AAPL,Apple Inc.,Technology,Consumer Electronics,CORE,3743416057856.0,1.116,1.5202099,BALANCEADO,1,254.73,48.7,260.34,249.14,True,True,True,32.24,152901992448.0,117776998400.0,102.63,295.07,15.84,3,4,8,PULLBACK EN TENDENCIA,COMPRA POTENCIAL,MEDIA,8,6.25,3,8,COMPRA POTENCIAL,0,SIN CAMBIOS,MEDIA
DIS,The Walt Disney Company,Communication Services,Entertainment,CORE,171309187072.0,1.443,0.12024,AGRESIVO,1,96.6,40.39,103.39,111.52,True,True,False,14.23,19306000384.0,12252000256.0,40.91,128.73,33.27,2,5,8,PULLBACK,COMPRA POTENCIAL,MEDIA,8,6.75,1,7,SEGUIMIENTO,1,MEJORANDO,MEDIA
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,CORE,321492582400.0,1.044,1.45541,BALANCEADO,1,322.8,33.9,362.18,373.56,True,True,False,22.67,25010999296.0,14156000256.0,514.39,408.18,26.45,3,3,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.4,2,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,CORE,2751726354432.0,1.108,0.34390998,BALANCEADO,1,370.23,36.51,403.54,476.9,False,True,False,23.15,175258992640.0,119262003200.0,31.54,587.31,58.63,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.25,3,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,CORE,87110942720.0,1.527,0.35985002,AGRESIVO,1,1718.26,48.04,1873.73,2158.1,True,True,False,43.65,4019000064.0,1996999936.0,169.24,2544.5,48.09,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.4,2,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,CORE,2255997370368.0,1.42,0.22286,AGRESIVO,1,210.15,49.99,215.01,224.55,True,True,False,29.27,145730994176.0,77669998592.0,43.44,281.26,33.84,2,4,7,PULLBACK,SEGUIMIENTO,BAJA,4,6.4,2,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,CORE,446967611392.0,0.993,0.29650998,BALANCEADO,1,1006.98,59.98,988.05,948.36,True,False,True,52.37,13459999744.0,8549000192.0,25.98,1067.09,5.97,2,4,7,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.0,4,7,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,CORE,334666006528.0,0.34,0.31562,DEFENSIVO,-1,142.99,33.84,153.5,152.0,False,True,True,21.22,24764999680.0,16161999872.0,68.72,166.95,16.76,3,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,4,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,CORE,329891807232.0,0.332,0.43323,DEFENSIVO,-1,76.64,51.0,77.08,71.29,True,True,True,25.21,16078000128.0,13107000320.0,139.79,83.54,9.0,3,4,6,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.0,4,5,SEGUIMIENTO,1,MEJORANDO,BAJA
MA,Mastercard Incorporated,Financial Services,Credit Services,CORE,440368922624.0,0.836,2.09915,BALANCEADO,1,493.32,42.83,517.28,552.96,True,True,False,29.87,20544000000.0,14968000512.0,256.04,657.11,33.2,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,5,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
V,Visa Inc.,Financial Services,Credit Services,CORE,578084077568.0,0.791,0.53954,DEFENSIVO,0,299.83,40.05,315.8,336.48,True,True,False,28.13,28987000832.0,20592001024.0,54.61,396.83,32.35,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,5,7,SEGUIMIENTO,-1,DETERIORANDO,BAJA
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,CORE,792366546944.0,1.059,0.16134001,BALANCEADO,1,293.53,50.47,299.03,302.39,True,True,False,14.67,,55680999424.0,,337.75,15.06,2,3,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.0,5,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,CORE,1373952933888.0,1.926,0.049250003,ESPECULATIVO,0,366.18,40.69,403.59,396.94,False,True,True,342.2,10503000064.0,3793999872.0,17.76,418.83,14.38,2,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.4,2,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,CORE,996311171072.0,0.657,0.21847,DEFENSIVO,0,124.97,53.81,124.47,109.26,True,False,True,45.78,44027998208.0,21892999168.0,64.44,136.02,8.85,2,4,6,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.0,4,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,CORE,1444629053440.0,1.279,0.30238,AGRESIVO,1,571.1,40.51,639.57,685.03,False,True,False,24.28,101891997696.0,60458000384.0,39.16,861.76,50.9,1,4,6,PULLBACK,SEGUIMIENTO,BAJA,4,6.75,1,6,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,CORE,216821563392.0,0.496,,DEFENSIVO,-1,304.02,33.23,321.39,308.66,False,True,True,25.43,14593999872.0,8562999808.0,,345.0,13.48,3,3,5,PULLBACK,SEGUIMIENTO,BAJA,4,6.4,2,5,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,CORE,212258586624.0,0.375,0.42848,DEFENSIVO,-1,155.28,47.17,159.19,147.62,True,True,True,25.88,18173999104.0,8240000000.0,258.08,170.54,9.83,3,3,5,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,6.0,4,5,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
NVDA,NVIDIA Corporation,Technology,Semiconductors,CORE,4290318696448.0,2.375,1.01485,ESPECULATIVO,-1,176.53,48.14,182.63,179.81,False,True,True,36.02,133230002176.0,120066998272.0,7.25,268.22,51.94,2,4,5,PULLBACK,SEGUIMIENTO,BAJA,4,6.25,3,5,SEGUIMIENTO,0,SIN CAMBIOS,BAJA
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,CORE,349454139392.0,2.022,0.07082,ESPECULATIVO,-1,214.43,56.0,211.58,196.87,True,False,True,82.12,6744999936.0,4268999936.0,6.36,289.61,35.06,2,4,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,6.25,3,6,SEGUIMIENTO,-1,DETERIORANDO,BAJA
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,CORE,251376287744.0,0.38,0.12538,DEFENSIVO,-1,276.95,48.48,285.83,312.56,True,True,False,20.93,21624999936.0,12056000512.0,81.62,357.81,29.2,2,4,5,PULLBACK,SEGUIMIENTO,BAJA,4,4.5,6,4,DEBILITÁNDOSE,1,MEJORANDO,BAJA
NFLX,"Netflix, Inc.",Communication Services,Entertainment,CORE,415005245440.0,1.714,0.42762002,AGRESIVO,0,97.83,63.77,88.15,107.12,True,False,False,38.67,13659992064.0,10981200896.0,63.78,113.43,15.95,1,4,5,SIN SETUP,SEGUIMIENTO,BAJA,4,6.75,1,4,DEBILITÁNDOSE,1,MEJORANDO,BAJA
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,CORE,592088072192.0,0.326,0.35029998,DEFENSIVO,-1,245.69,62.64,238.96,198.42,True,False,True,22.27,33835999232.0,26804000768.0,60.5,241.08,-1.87,2,3,4,TENDENCIA FIRME,TOMA DE GANANCIA,NULA,0,4.5,6,4,TOMA DE GANANCIA,0,SIN CAMBIOS,IGNORAR
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,CORE,400090660864.0,0.587,0.07231,DEFENSIVO,-1,200.11,54.27,188.2,162.46,False,False,True,30.18,37631000576.0,12298999808.0,24.32,201.96,0.92,1,3,3,SIN SETUP,EVITAR,NULA,0,3.0,7,4,EVITAR,-1,DETERIORANDO,IGNORAR
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,CORE,668473819136.0,0.348,0.110810004,DEFENSIVO,-1,160.43,53.53,151.68,123.79,False,False,True,23.94,59385999360.0,28843999232.0,18.94,,,1,3,3,SIN SETUP,EVITAR,NULA,0,3.0,7,4,EVITAR,-1,DETERIORANDO,IGNORAR
